,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",24566,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,22214,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Watermelon Sugar","Harry Styles",15609,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
4,"Blinding Lights","The Weeknd",14907,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Roses - Imanbek Remix","SAINt JHN",14859,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
6,"Breaking Me",Topic,14301,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
7,"Jolie nana","Aya Nakamura",12717,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm
8,MAMACITA,"Black Eyed Peas",12548,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
9,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",12243,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
10,Bläulich,"Apache 207",11833,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
11,"Tilidin Weg","Bonez MC",11779,https://open.spotify.com/track/1g3J9W88hTG173ySZR6E9S
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",10674,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"ily (i love you baby) (feat. Emilee)","Surf Mesa",10152,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,"my future","Billie Eilish",9908,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
15,"Dance Monkey","Tones And I",9676,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"TKN (feat. Travis Scott)",ROSALÍA,9401,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
