,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",12132,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"Sweet but Psycho","Ava Max",11057,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",10501,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,"Without Me",Halsey,10399,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,"thank u, next","Ariana Grande",10330,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"HaifischNikez Allstars",LX,10230,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",10175,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,Shallow,"Lady Gaga",10011,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
9,Benzema,"Capital Bra",9642,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
10,"High Hopes","Panic! At The Disco",9227,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
11,"In My Mind",Dynoro,8407,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
12,"Be Alright","Dean Lewis",8191,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",7759,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
14,Happier,Marshmello,7475,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
15,"SICKO MODE","Travis Scott",7103,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
16,"Going Bad (feat. Drake)","Meek Mill",7059,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
17,"MIA (feat. Drake)","Bad Bunny",6974,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
18,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,6937,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
19,"Eastside (with Halsey & Khalid)","benny blanco",6833,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
20,"Lucid Dreams","Juice WRLD",6379,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
21,"Mo Bamba","Sheck Wes",6270,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
22,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",6041,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
23,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",5996,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
24,SAD!,XXXTENTACION,5990,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Promises (with Sam Smith)","Calvin Harris",5970,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
26,"Better Now","Post Malone",5804,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
27,"Girls Like You (feat. Cardi B)","Maroon 5",5760,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,"rockstar (feat. 21 Savage)","Post Malone",5736,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
29,"Tausend Tattoos",Sido,5608,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
30,Lelele,Azet,5604,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX
31,"Baller los",MERO,5489,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9
32,"One Kiss (with Dua Lipa)","Calvin Harris",5477,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
33,"I Like It","Cardi B",5433,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
34,Moonlight,XXXTENTACION,5374,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
35,Better,Khalid,5348,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
36,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",5282,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
37,"Solo (feat. Demi Lovato)","Clean Bandit",5276,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
38,"Body (feat. brando)","Loud Luxury",5228,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
39,imagine,"Ariana Grande",5194,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
40,"Bohemian Rhapsody - 2011 Mix",Queen,5174,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
41,"Saturday Nights",Khalid,5162,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
42,"God's Plan",Drake,5086,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
43,"when the party's over","Billie Eilish",5053,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
44,"whoa (mind in awe)",XXXTENTACION,4923,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
45,"Ruin My Life","Zara Larsson",4685,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
46,monster,"21 Savage",4617,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
47,Djadja,"Aya Nakamura",4610,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
48,Rise,"Jonas Blue",4462,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
49,"Love Someone","Lukas Graham",4443,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
50,"Let You Love Me","Rita Ora",4374,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
51,"Shape of You","Ed Sheeran",4296,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
52,"Bad Liar","Imagine Dragons",4285,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
53,Natural,"Imagine Dragons",4261,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
54,"Leave Me Alone","Flipp Dinero",4236,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
55,"Taste (feat. Offset)",Tyga,4221,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
56,Thunderclouds,Sia,4209,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
57,"Happy Now",Kygo,4198,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
58,"Ramenez la coupe à la maison",Vegedream,4150,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
59,"Jackie Chan",Tiësto,4050,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
60,"In My Feelings",Drake,4027,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
61,"Havana (feat. Young Thug)","Camila Cabello",4018,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
62,2002,Anne-Marie,3918,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
63,KIKA,6ix9ine,3895,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
64,Youngblood,"5 Seconds of Summer",3840,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
65,FRIENDS,Marshmello,3795,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
66,"Blah Blah Blah","Armin van Buuren",3711,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
67,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",3698,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
68,"Mafiosa (feat. Caroliina)",Lartiste,3690,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
69,"500 PS","Bonez MC",3681,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
70,"Say My Name","David Guetta",3668,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
71,Shotgun,"George Ezra",3575,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
72,"Look Back at It","A Boogie Wit da Hoodie",3565,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
73,Nevermind,"Dennis Lloyd",3540,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
74,"Kiss and Make Up","Dua Lipa",3474,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
75,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3473,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
76,lovely,"Billie Eilish",3463,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
77,Feuer,"Capital Bra",3462,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV
78,Meer,Luciano,3456,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
79,"Adan y Eva","Paulo Londra",3398,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
80,"no tears left to cry","Ariana Grande",3392,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
81,"No Stylist (feat. Drake)","French Montana",3388,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
82,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",3363,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
83,"Don't Stop Me Now - 2011 Mix",Queen,3355,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
84,"The Middle",Zedd,3337,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
85,Jaloux,Dadju,3325,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT
86,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",3278,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
87,"a lot","21 Savage",3235,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
88,"Jocelyn Flores",XXXTENTACION,3232,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
89,"Dior 2001",RIN,3221,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
90,BAD!,XXXTENTACION,3172,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
91,"In My Blood","Shawn Mendes",3169,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
92,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",3131,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
93,Nonstop,Drake,3115,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
94,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",3110,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
95,IDGAF,"Dua Lipa",3109,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
96,Copines,"Aya Nakamura",3105,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
97,"I Love It (& Lil Pump)","Kanye West",3084,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
98,"Wake Up in the Sky","Gucci Mane",3083,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
99,FEFE,6ix9ine,3047,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
100,"Psycho (feat. Ty Dolla $ign)","Post Malone",3044,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
101,Believer,"Imagine Dragons",3038,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3033,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
103,"Solo de Mi","Bad Bunny",3019,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
104,"Ocean (feat. Khalid)","Martin Garrix",2996,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
105,"Beautiful (feat. Camila Cabello)",Bazzi,2983,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
106,"Without You (feat. Sandro Cavazza)",Avicii,2973,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
107,"Calma - Remix","Pedro Capó",2969,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
108,Flames,"David Guetta",2965,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
109,"Always Remember Us This Way","Lady Gaga",2945,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
110,Perfect,"Ed Sheeran",2934,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
