,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",24802,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",18687,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Roses - Imanbek Remix","SAINt JHN",15744,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Dance Monkey","Tones And I",14928,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Don't Start Now","Dua Lipa",14323,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,"Lettre à une femme",Ninho,12560,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
7,Falling,"Trevor Daniel",12185,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
8,ROXANNE,"Arizona Zervas",10359,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
9,"Say So","Doja Cat",9927,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"In Your Eyes","The Weeknd",9710,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
11,"death bed (coffee for your head)",Powfu,9693,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,Tusa,"KAROL G",9038,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,"Sunday Best",Surfaces,8683,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14,"Intentions (feat. Quavo)","Justin Bieber",8382,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,"Blueberry Faygo","Lil Mosey",8335,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"After Hours","The Weeknd",8247,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
17,Physical,"Dua Lipa",7645,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
18,"Before You Go","Lewis Capaldi",7626,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
19,"Ride It",Regard,7570,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
20,Supalonely,BENEE,7521,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
21,"everything i wanted","Billie Eilish",7450,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,"In Your Eyes (feat. Alida)","Robin Schulz",7440,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
23,Memories,"Maroon 5",7379,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,"Life Is Good (feat. Drake)",Future,7181,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,"Ne reviens pas",Gradur,7172,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
26,"Someone You Loved","Lewis Capaldi",7168,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"Godzilla (feat. Juice WRLD)",Eminem,7097,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,"Adore You","Harry Styles",7090,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,Roller,"Apache 207",7020,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
30,Circles,"Post Malone",6946,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
31,Dior,"Pop Smoke",6834,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
32,"RITMO (Bad Boys For Life)","Black Eyed Peas",6752,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
33,"No Time To Die","Billie Eilish",6546,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
34,"bad guy","Billie Eilish",6512,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,Heartless,"The Weeknd",6226,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
36,Señorita,"Shawn Mendes",6090,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,"Never Seen the Rain","Tones And I",6007,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
38,"Moral of the Story",Ashe,5925,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
39,"Too Late","The Weeknd",5884,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
40,"Lose Control",MEDUZA,5861,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
41,"WHATS POPPIN","Jack Harlow",5721,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
42,"Alone Again","The Weeknd",5696,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
43,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",5598,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
44,"Scared To Live","The Weeknd",5478,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
45,"Hardest To Love","The Weeknd",5353,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
46,"You should be sad",Halsey,5318,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
