,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,30205,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",21525,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",21139,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"The Box","Roddy Ricch",16064,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Don't Start Now","Dua Lipa",14692,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
6,"Dance Monkey","Tones And I",13196,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"Blueberry Faygo","Lil Mosey",12180,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"death bed (coffee for your head)",Powfu,11679,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,Falling,"Trevor Daniel",11304,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
10,"Shotz Fired","Bonez MC",10722,https://open.spotify.com/track/0dy5NFDnx5fuZvE8ZXEX35
11,BaeBae,Samra,10424,https://open.spotify.com/track/1yYBOIXO2H9LDqEPui42GM
12,"Say So","Doja Cat",10048,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"Breaking Me",Topic,9216,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,Savage,"Megan Thee Stallion",8856,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
15,ROXANNE,"Arizona Zervas",8663,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,Supalonely,BENEE,8521,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"Ride It",Regard,8365,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
18,"Sunday Best",Surfaces,8364,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"ily (i love you baby) (feat. Emilee)","Surf Mesa",8219,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
20,"Life Is Good (feat. Drake)",Future,8132,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
21,"Lettre à une femme",Ninho,8074,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
22,"In Your Eyes (feat. Alida)","Robin Schulz",8002,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
23,Physical,"Dua Lipa",7948,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
24,"Before You Go","Lewis Capaldi",7925,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Tusa,"KAROL G",7810,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
26,Skechers,DripReport,7738,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
27,"Intentions (feat. Quavo)","Justin Bieber",7553,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,"Break My Heart","Dua Lipa",7451,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
29,"In Your Eyes","The Weeknd",7339,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
30,"BELIEVE IT",PARTYNEXTDOOR,7327,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
31,"Someone You Loved","Lewis Capaldi",7088,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
