,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",26840,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Der Bratan bleibt der gleiche","Capital Bra",19555,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
3,ROXANNE,"Arizona Zervas",15069,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Falling,"Trevor Daniel",14622,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,Memories,"Maroon 5",14591,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"everything i wanted","Billie Eilish",14517,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,Roller,"Apache 207",14298,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
8,"All I Want for Christmas Is You","Mariah Carey",13463,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,Circles,"Post Malone",12913,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,Heartless,"The Weeknd",12629,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
11,"HIGHEST IN THE ROOM","Travis Scott",12183,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,"Last Christmas",Wham!,11883,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
13,"RITMO (Bad Boys For Life)","Black Eyed Peas",11648,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
14,"Ride It",Regard,11542,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
15,"Don't Start Now","Dua Lipa",11408,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,"Someone You Loved","Lewis Capaldi",11074,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,Señorita,"Shawn Mendes",10976,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,"Lose You To Love Me","Selena Gomez",10812,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
19,"Blinding Lights","The Weeknd",10420,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
20,110,"Capital Bra",9686,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
21,"hot girl bummer",blackbear,9644,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,100%,Senidah,9257,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky
23,"Beautiful People (feat. Khalid)","Ed Sheeran",9136,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
24,"Trampoline (with ZAYN)",SHAED,8811,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
25,"bad guy","Billie Eilish",8538,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,"Santa Tell Me","Ariana Grande",7683,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
27,"Jingle Bell Rock","Bobby Helms",7595,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
28,38-42,Brooze,7458,https://open.spotify.com/track/62fKtk81qNTJqIOMgPu7cH
29,"It's Beginning to Look a Lot like Christmas","Michael Bublé",7446,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
