,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",15240,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,13471,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,"thank u, next","Ariana Grande",12543,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
4,"Without Me",Halsey,11501,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,"Sweet but Psycho","Ava Max",10823,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",10743,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9948,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"Jingle Bell Rock","Bobby Helms",9630,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
9,Shallow,"Lady Gaga",9591,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
10,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9404,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
11,"Santa Tell Me","Ariana Grande",9305,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",8981,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
13,"It's the Most Wonderful Time of the Year","Andy Williams",8598,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
14,"High Hopes","Panic! At The Disco",8432,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
15,"Be Alright","Dean Lewis",8368,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
16,"In My Mind",Dynoro,8302,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
17,"Rockin' Around The Christmas Tree","Brenda Lee",8276,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
18,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,8180,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
19,"Baller los",MERO,7813,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9
20,"MIA (feat. Drake)","Bad Bunny",7803,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
21,"Do They Know It's Christmas? - 1984 Version","Band Aid",7687,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
22,Happier,Marshmello,7603,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,"Going Bad (feat. Drake)","Meek Mill",7567,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
24,imagine,"Ariana Grande",7415,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
25,"SICKO MODE","Travis Scott",7378,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
26,"Tausend Tattoos",Sido,7232,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
27,"Mo Bamba","Sheck Wes",7226,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
28,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",6688,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
29,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",6563,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
30,"Eastside (with Halsey & Khalid)","benny blanco",6498,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
31,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",6370,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
32,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",6205,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
33,"whoa (mind in awe)",XXXTENTACION,6172,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
34,"Lucid Dreams","Juice WRLD",6106,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
35,Mistletoe,"Justin Bieber",5908,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
36,"Better Now","Post Malone",5876,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
37,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",5842,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
38,SAD!,XXXTENTACION,5738,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
39,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",5725,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
40,"when the party's over","Billie Eilish",5714,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
41,Better,Khalid,5713,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
42,KIKA,6ix9ine,5709,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
43,"Let You Love Me","Rita Ora",5626,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
44,Moonlight,XXXTENTACION,5601,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
