,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Better Now","Post Malone",48397,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
57,2002,Anne-Marie,48139,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
58,"MIA (feat. Drake)","Bad Bunny",48012,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
59,"I Love It (& Lil Pump)","Kanye West",47400,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
60,"Ruin My Life","Zara Larsson",47374,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
61,"lovely (with Khalid)","Billie Eilish",46610,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
62,"Happy Now",Kygo,46237,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
63,Better,Khalid,45903,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
64,Nevermind,"Dennis Lloyd",43959,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
65,Gospel,Kollegah,43627,https://open.spotify.com/track/6UxMfLl3Ncdzq6mZUsCmIn
66,"Solo (feat. Demi Lovato)","Clean Bandit",43353,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
67,"Maybach (feat. Bushido)","Capital Bra",42871,https://open.spotify.com/track/4gS5rKGbcgXsSMXGmwzBl6
68,"Beach House","The Chainsmokers",42402,https://open.spotify.com/track/0N8MGHEDAq29ip7RrlrTeN
69,Ballin,Luciano,42044,https://open.spotify.com/track/1ZxBGZ7pxkh0VwFRp6biXk
70,Neymar,"Capital Bra",42040,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
71,"Don't Stop Me Now - 2011 Mix",Queen,41635,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
72,"Lucid Dreams","Juice WRLD",40860,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
73,"Selbst verdient","Capital Bra",39534,https://open.spotify.com/track/5w5Zq6IAtSo1vBXBofvgZ9
74,"Ala bin","Seiler und Speer",38790,https://open.spotify.com/track/6hSbkhKnY0INN355GvKmgO
75,"Jennie (feat. R. City, Bori)","Felix Jaehn",38473,https://open.spotify.com/track/7uM7YZwNZqdDMG0NfGhmux
76,"One Night Stand","Capital Bra",38473,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
77,"Born To Be Yours",Kygo,38456,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
78,"Santa Tell Me","Ariana Grande",38334,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
79,"Nike Pullover",Azet,38321,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy
80,SAD!,XXXTENTACION,38318,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
81,Prominent,"Bonez MC",37771,https://open.spotify.com/track/4JxvECbZ3Oes1eUrmhQNSH
82,"Cordula Grün",Josh.,37217,https://open.spotify.com/track/483ykNWhSQXYprueXUMNeo
