,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucky You (feat. Joyner Lucas)",Eminem,8530,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
2,"I Love It (& Lil Pump)","Kanye West",7785,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"In My Feelings",Drake,6791,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"Promises (with Sam Smith)","Calvin Harris",6232,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Eastside (with Halsey & Khalid)","benny blanco",6154,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,"In My Mind",Dynoro,5970,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
7,"The Ringer",Eminem,5093,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
8,"Girls Like You (feat. Cardi B)","Maroon 5",5011,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,breathin,"Ariana Grande",4904,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
10,Happier,Marshmello,4897,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,Fall,Eminem,4837,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
12,"Be Alright","Dean Lewis",4791,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"Electricity (with Dua Lipa)","Silk City",4756,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
14,Natural,"Imagine Dragons",4641,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
15,"SICKO MODE","Travis Scott",4489,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
16,"Body (feat. brando)","Loud Luxury",4422,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
17,"I Like It","Cardi B",4340,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4331,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
19,"No Brainer","DJ Khaled",4277,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
20,"God is a woman","Ariana Grande",4113,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
21,"Not Alike (feat. Royce Da 5'9)",Eminem,4101,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
