,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",17161,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Falling,"Trevor Daniel",11226,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,"Blinding Lights","The Weeknd",10975,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Dance Monkey","Tones And I",10825,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Godzilla (feat. Juice WRLD)",Eminem,10821,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,"Life Is Good (feat. Drake)",Future,10435,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
7,"everything i wanted","Billie Eilish",9549,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
8,"Don't Start Now","Dua Lipa",8490,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,ROXANNE,"Arizona Zervas",8264,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,Yummy,"Justin Bieber",8189,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
11,Physical,"Dua Lipa",7066,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
12,Circles,"Post Malone",5871,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
13,"My Oh My (feat. DaBaby)","Camila Cabello",5828,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
14,Memories,"Maroon 5",5739,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,"Roses - Imanbek Remix","SAINt JHN",5574,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,"Ayy Macarena",Tyga,5571,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
17,"Before You Go","Lewis Capaldi",5518,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
18,"HIGHEST IN THE ROOM","Travis Scott",5368,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
19,"Lose Control",MEDUZA,5288,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
20,"Someone You Loved","Lewis Capaldi",5187,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"bad guy","Billie Eilish",5030,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,Suicidal,"YNW Melly",4609,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
23,Caliente,"Mente Fuerte",4579,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
24,"You should be sad",Halsey,4552,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
25,"Lose You To Love Me","Selena Gomez",4531,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
26,"Adore You","Harry Styles",4501,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,Señorita,"Shawn Mendes",4484,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,"What A Man Gotta Do","Jonas Brothers",4452,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
29,Senorita,SNIK,4408,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
30,Rare,"Selena Gomez",4298,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
31,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,4245,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
32,"Say So","Doja Cat",4163,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,"RITMO (Bad Boys For Life)","Black Eyed Peas",4137,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
34,"Vgazei Story",Sele,3811,https://open.spotify.com/track/7IqAw0ffDEuOBxImNdInvp
35,"I Don't Care (with Justin Bieber)","Ed Sheeran",3761,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
36,BOP,DaBaby,3700,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
37,"Ballin' (with Roddy Ricch)",Mustard,3696,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
38,Lalala,Y2K,3662,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
39,"Wake Up Call (feat. Trippie Redd)",KSI,3641,https://open.spotify.com/track/5MYzajZVxBaPT2JUSRa99L
40,"Beautiful People (feat. Khalid)","Ed Sheeran",3634,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
41,"What If I Told You That I Love You","Ali Gatie",3589,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
42,Eleven,Khalid,3538,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
43,"Ride It",Regard,3480,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
44,"Get Me","Justin Bieber",3479,https://open.spotify.com/track/6zGPytJiZmFuyVq7RTNO9G
45,"when the party's over","Billie Eilish",3440,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
46,SUGAR,BROCKHAMPTON,3433,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
47,"Some Say",Nea,3367,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
48,"BIG MAN",SNIK,3331,https://open.spotify.com/track/7qd01xrME77eyWqGPumC2J
49,"No Idea","Don Toliver",3316,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
50,Business,TOQUEL,3281,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
51,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",3260,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
52,"lovely (with Khalid)","Billie Eilish",3110,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"If the World Was Ending - feat. Julia Michaels","JP Saxe",3077,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
54,Sandra,TOQUEL,2883,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
55,"Only The Young - Featured in Miss Americana","Taylor Swift",2862,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC
56,Heartless,"The Weeknd",2849,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
57,"Lucid Dreams","Juice WRLD",2836,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
58,Hartopolemos,"Natasa Theodoridou",2802,https://open.spotify.com/track/5BpfuPKqOpY3fdggbKQtv2
59,"How Do You Sleep?","Sam Smith",2762,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
60,Tusa,"KAROL G",2744,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
61,"Colpo Grosso",SNIK,2725,https://open.spotify.com/track/4lCwnBZurX0OIqMKBOHRlS
62,Stars,TOQUEL,2720,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
63,"Money In The Grave (Drake ft. Rick Ross)",Drake,2704,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
64,Motto,MG,2686,https://open.spotify.com/track/1Dg4K5rscxqz6LyMDGMuED
65,"Good News","Mac Miller",2682,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
66,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",2627,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
