,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Without Me",Halsey,7271,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
2,Wow.,"Post Malone",7257,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,Shallow,"Lady Gaga",5457,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
4,"thank u, next","Ariana Grande",5336,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,"Sweet but Psycho","Ava Max",5259,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4642,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4533,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",4433,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
9,"SICKO MODE","Travis Scott",4242,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
10,"Going Bad (feat. Drake)","Meek Mill",4154,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
11,"High Hopes","Panic! At The Disco",4083,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
12,Happier,Marshmello,4044,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"Eastside (with Halsey & Khalid)","benny blanco",3878,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
14,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,3842,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
15,"Be Alright","Dean Lewis",3745,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
16,"Mo Bamba","Sheck Wes",3732,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
17,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",3448,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
18,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",3434,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
19,"Better Now","Post Malone",3431,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"Leave Me Alone","Flipp Dinero",3357,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
21,"Saturday Nights",Khalid,3229,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
22,"MIA (feat. Drake)","Bad Bunny",3216,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
23,Moonlight,XXXTENTACION,3169,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,imagine,"Ariana Grande",3071,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
25,"Look Back at It","A Boogie Wit da Hoodie",3040,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
26,SAD!,XXXTENTACION,3007,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
