,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",9167,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Falling Down - Bonus Track","Lil Peep",8407,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
3,"Lucky You (feat. Joyner Lucas)",Eminem,7136,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Promises (with Sam Smith)","Calvin Harris",6282,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,Killshot,Eminem,6198,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
6,"In My Mind",Dynoro,6145,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
7,Happier,Marshmello,5896,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"Eastside (with Halsey & Khalid)","benny blanco",5377,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,"In My Feelings",Drake,5266,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
10,Better,Khalid,5192,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
11,"Be Alright","Dean Lewis",4655,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
12,Natural,"Imagine Dragons",4283,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
13,"SICKO MODE","Travis Scott",4060,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
14,breathin,"Ariana Grande",3928,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
15,Thunderclouds,Sia,3833,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
16,"Electricity (with Dua Lipa)","Silk City",3831,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
17,"Lucid Dreams","Juice WRLD",3714,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
18,"I Like It","Cardi B",3703,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
19,"Girls Like You (feat. Cardi B)","Maroon 5",3679,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3608,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
21,"Wake Up in the Sky","Gucci Mane",3587,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
22,"No Stylist (feat. Drake)","French Montana",3466,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
23,"No Brainer","DJ Khaled",3375,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
24,"God is a woman","Ariana Grande",3314,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
25,"Taste (feat. Offset)",Tyga,3279,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
26,Shotgun,"George Ezra",3261,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
27,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",3256,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
28,"Better Now","Post Malone",3237,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
29,"Jackie Chan",Tiësto,3192,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
30,"Solo (feat. Demi Lovato)","Clean Bandit",3184,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
31,"no tears left to cry","Ariana Grande",3052,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
32,"Beautiful (feat. Camila Cabello)",Bazzi,2986,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
