,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",8186,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,"I Love It (& Lil Pump)","Kanye West",6702,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,Happier,Marshmello,6421,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
4,"Promises (with Sam Smith)","Calvin Harris",5955,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Without Me",Halsey,5657,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,Shallow,"Lady Gaga",5613,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
7,"Falling Down - Bonus Track","Lil Peep",5540,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
8,"In My Mind",Dynoro,5181,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
9,Better,Khalid,5111,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
10,"Eastside (with Halsey & Khalid)","benny blanco",5061,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"Venom - Music From The Motion Picture",Eminem,4500,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
12,"Lucky You (feat. Joyner Lucas)",Eminem,4445,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
13,Natural,"Imagine Dragons",4228,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
14,"Be Alright","Dean Lewis",4178,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
15,"In My Feelings",Drake,4153,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,Thunderclouds,Sia,4109,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
17,"SICKO MODE","Travis Scott",3944,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
18,"Electricity (with Dua Lipa)","Silk City",3627,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
19,Killshot,Eminem,3621,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
20,STOOPID,6ix9ine,3554,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
21,"Lucid Dreams","Juice WRLD",3441,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
22,"I Like It","Cardi B",3425,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,Moonlight,XXXTENTACION,3401,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,"Girls Like You (feat. Cardi B)","Maroon 5",3337,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
25,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",3289,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
26,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",3263,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
27,"Better Now","Post Malone",3196,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
28,"Let You Love Me","Rita Ora",3118,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
29,"Taste (feat. Offset)",Tyga,3075,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
30,SAD!,XXXTENTACION,3066,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
31,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2988,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
32,"Solo (feat. Demi Lovato)","Clean Bandit",2903,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
33,Shotgun,"George Ezra",2892,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
34,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",2849,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
35,"Beautiful (feat. Camila Cabello)",Bazzi,2804,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
36,Rise,"Jonas Blue",2793,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
37,breathin,"Ariana Grande",2743,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
38,"Body (feat. brando)","Loud Luxury",2726,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
39,"No Stylist (feat. Drake)","French Montana",2717,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
40,Youngblood,"5 Seconds of Summer",2703,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
41,"God is a woman","Ariana Grande",2679,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
