,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Caliente,"Mente Fuerte",34926,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
2,Mama?,"Sin Boy",10392,https://open.spotify.com/track/15kf9DLlzjHMfVccydtAEb
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",10162,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",9822,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
5,Gigi,Rina,9420,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
6,"bad guy","Billie Eilish",8936,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
7,"Deja Vu",Hawk,8294,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
8,Sientelo,"Sin Boy",7783,https://open.spotify.com/track/6L9hOHprq2aLkmVhD9nzbf
9,"Money In The Grave (Drake ft. Rick Ross)",Drake,6169,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
10,"You Need To Calm Down","Taylor Swift",5604,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
11,"Old Town Road","Lil Nas X",5567,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
12,"Go Loko (feat. Tyga, Jon Z)",YG,5287,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
13,"If I Can't Have You","Shawn Mendes",5236,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
14,"Someone You Loved","Lewis Capaldi",5209,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Ju Ju","Sin Boy",5157,https://open.spotify.com/track/5GZYZB1pFqcageFCNW0RlB
16,"No Guidance (feat. Drake)","Chris Brown",5048,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
17,"Piece Of Your Heart",MEDUZA,4868,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
18,"Con Calma","Daddy Yankee",4712,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
19,Sucker,"Jonas Brothers",4684,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
20,"7 rings","Ariana Grande",4653,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
21,"The London (feat. J. Cole & Travis Scott)","Young Thug",4638,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
22,"SOS (feat. Aloe Blacc)",Avicii,4441,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
23,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",4438,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
24,"Don't Call Me Up",Mabel,4387,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
25,Business,TOQUEL,4159,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
26,Colombiana,"Sin Boy",4158,https://open.spotify.com/track/5MTWw33o2HkA4jHDJCpJky
27,"De Me Theloun",Fy,4150,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
28,"Call You Mine","The Chainsmokers",4031,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
29,Wow.,"Post Malone",3996,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
30,"Valto Terma","Nikos Oikonomopoulos",3910,https://open.spotify.com/track/1AMX9YprkGGcyQPyzOuNbw
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3896,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
32,"Never Really Over","Katy Perry",3842,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
33,Soldi,Mahmood,3785,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
34,Stars,TOQUEL,3718,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
35,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",3700,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
36,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",3699,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
37,Heaven,Avicii,3632,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
38,Shallow,"Lady Gaga",3487,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
39,Suge,DaBaby,3433,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
40,"El Ritmo Psicodélico","Eleni Foureira",3405,https://open.spotify.com/track/35AHzpJ01km9zVuOCdIY5r
41,Netflix,TOQUEL,3386,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
42,Happier,Marshmello,3344,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
43,"Sweet but Psycho","Ava Max",3298,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
44,"Only Human","Jonas Brothers",3246,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
45,"Rescue Me",OneRepublic,3218,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
46,High,"Sin Boy",3171,https://open.spotify.com/track/0gSaf88aTovmAOflXDG7Jw
47,"Without Me",Halsey,2964,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
48,"Calma - Remix","Pedro Capó",2922,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
49,"Talk (feat. Disclosure)",Khalid,2912,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
50,Medusa,SNIK,2825,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
51,"Mad Love",Mabel,2809,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
52,Arcade,"Duncan Laurence",2808,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
53,EARFQUAKE,"Tyler, The Creator",2768,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
54,"Dancing With A Stranger (with Normani)","Sam Smith",2733,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
55,"Eastside (with Halsey & Khalid)","benny blanco",2714,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
56,"Mother's Daughter","Miley Cyrus",2706,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
57,"rockstar (feat. 21 Savage)","Post Malone",2645,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
58,"Den Eho Idea","Christos Mastoras",2635,https://open.spotify.com/track/1bpyEuVZPS5uWSnpkm3dW0
59,"bury a friend","Billie Eilish",2622,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
60,Isis,"Joyner Lucas",2587,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
61,Morena,"Mente Fuerte",2580,https://open.spotify.com/track/4kCjokPJtcds5OZQpB7oqA
62,"Inopnevma Ftino","Giorgos Mazonakis",2575,https://open.spotify.com/track/62sRtKxGqaK0Nxy4LlWO47
63,"Sari Sari Sari","Sin Boy",2565,https://open.spotify.com/track/7jbXufm1Aq65nRAHbCSAdU
64,"Better Now","Post Malone",2513,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
65,"lovely (with Khalid)","Billie Eilish",2475,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,"Ksero Mana",Saske,2475,https://open.spotify.com/track/5HWolqY3ip2Bh7rS6UJ5c0
67,"High Hopes","Panic! At The Disco",2468,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
68,"Pop Out (feat. Lil Tjay)","Polo G",2458,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
69,Replay,Tamta,2447,https://open.spotify.com/track/2UOyQB26wSQzM0jiTcUg50
70,Mosca,Light,2399,https://open.spotify.com/track/3rwuYQM6eEqTLWapNYAeZD
71,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",2397,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
