,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",8035,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"7 rings","Ariana Grande",7997,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,"Con Calma","Daddy Yankee",6920,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,Sucker,"Jonas Brothers",6844,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
5,Shallow,"Lady Gaga",6206,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
6,Mama?,"Sin Boy",6001,https://open.spotify.com/track/4MEbrM0ASH9jRmoOJQGRUz
7,"break up with your girlfriend, i'm bored","Ariana Grande",5600,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
8,"Don't Call Me Up",Mabel,4842,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
9,"MIDDLE CHILD","J. Cole",4825,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
10,"Dancing With A Stranger (with Normani)","Sam Smith",4414,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4304,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
12,"Let Me Down Slowly","Alec Benjamin",4288,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
13,"Here With Me",Marshmello,4211,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
14,"Without Me",Halsey,4074,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
15,"Sweet but Psycho","Ava Max",3997,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",3859,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
17,"My Bad",Khalid,3784,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
18,"i'm so tired...",Lauv,3780,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
19,"bury a friend","Billie Eilish",3774,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
20,Replay,Tamta,3594,https://open.spotify.com/track/2UOyQB26wSQzM0jiTcUg50
21,Happier,Marshmello,3581,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",3512,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
23,"wish you were gay","Billie Eilish",3503,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
24,"Please Me","Cardi B",3494,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
25,"Calma - Remix","Pedro Capó",3452,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
26,"Going Bad (feat. Drake)","Meek Mill",3257,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
27,"Old Town Road","Lil Nas X",3257,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
28,"Pure Water (with Migos)",Mustard,3237,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
29,"Baila Baila Baila",Ozuna,3215,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
30,Gigi,Rina,3185,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
31,"thank u, next","Ariana Grande",3161,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
32,Thotiana,Blueface,3138,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
33,"Be Alright","Dean Lewis",3119,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
34,"Giant (with Rag'n'Bone Man)","Calvin Harris",3078,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
35,Talk,Khalid,3074,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
36,"Murder On My Mind","YNW Melly",3021,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
37,"Bohemian Rhapsody - 2011 Mix",Queen,2966,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
38,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2918,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
39,"Better Now","Post Malone",2904,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
40,"Last Hurrah","Bebe Rexha",2880,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
41,"SICKO MODE","Travis Scott",2782,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
42,"Eastside (with Halsey & Khalid)","benny blanco",2760,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
43,"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes",2743,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
44,"Paranoia - Eime Enas Allos - 2019 Panik Version","Nino Xypolitas",2694,https://open.spotify.com/track/6gBeMltFbDXHGRfHRm2I7i
45,"Someone You Loved","Lewis Capaldi",2688,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
46,"Ju Ju","Sin Boy",2643,https://open.spotify.com/track/5GZYZB1pFqcageFCNW0RlB
47,"High Hopes","Panic! At The Disco",2595,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
48,"Who Do You Love","The Chainsmokers",2589,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
49,Undrunk,FLETCHER,2510,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
50,"MIA (feat. Drake)","Bad Bunny",2465,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
51,"Mo Bamba","Sheck Wes",2436,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
52,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",2334,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
53,"So Am I","Ava Max",2326,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
54,lovely,"Billie Eilish",2320,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
55,"Look Back at It","A Boogie Wit da Hoodie",2250,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
56,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2222,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
57,2002,Anne-Marie,2199,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
58,"Say My Name","David Guetta",2155,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
59,"when the party's over","Billie Eilish",2110,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
60,"rockstar (feat. 21 Savage)","Post Malone",2103,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
61,"Taste (feat. Offset)",Tyga,2088,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
62,SAD!,XXXTENTACION,2042,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
63,"Confessions of a Dangerous Mind",Logic,2029,https://open.spotify.com/track/5CE0V7z1ePOZQNJNpWxYGA
64,"Another One Bites The Dust - Remastered 2011",Queen,2025,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
65,Moonlight,XXXTENTACION,2015,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
66,"Girls Like You (feat. Cardi B)","Maroon 5",2004,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
67,"Lucid Dreams","Juice WRLD",1996,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"CRY - English Version",KAZKA,1993,https://open.spotify.com/track/0dICAwkIgf4HV5nCObYj6o
69,Youngblood,"5 Seconds of Summer",1969,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
70,"Walk Me Home",P!nk,1928,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
71,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,1875,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
72,Medusa,SNIK,1853,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
73,"Saturday Nights",Khalid,1849,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
74,"Just You and I","Tom Walker",1841,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
75,"Let You Love Me","Rita Ora",1830,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
76,"Wow. - Remix","Post Malone",1819,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
77,"The Bones","Maren Morris",1806,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
78,"I Like It","Cardi B",1785,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
79,"No New Friends",Sia,1774,https://open.spotify.com/track/3Y7a0typ6ik1KscmebXd6D
80,"Always Remember Us This Way","Lady Gaga",1771,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
81,Natural,"Imagine Dragons",1768,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
82,Better,Khalid,1768,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
83,"Body (feat. brando)","Loud Luxury",1762,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
84,"No Sleep (feat. Bonn)","Martin Garrix",1762,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
85,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1760,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
86,Nonstop,Drake,1758,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
87,"a lot","21 Savage",1751,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
88,"Ti Na To Kano","Konstantinos Argiros",1751,https://open.spotify.com/track/4SrNCId1Y1AtV8T374FeiI
89,Barking,Ramz,1738,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
90,"no tears left to cry","Ariana Grande",1731,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
91,"Big Plans","Why Don't We",1702,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
92,365,Zedd,1696,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
93,"Afti Ine I Zoi","Panos Mouzourakis",1696,https://open.spotify.com/track/7GszQphmFFFQVEKKkLpO3s
94,"I Like Me Better",Lauv,1678,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
95,"Lost In Japan","Shawn Mendes",1676,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
96,"Never Go Back","Dennis Lloyd",1655,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
97,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1653,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
98,Fast,"Juice WRLD",1637,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
99,"Promises (with Sam Smith)","Calvin Harris",1630,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
100,"Wake Up in the Sky","Gucci Mane",1625,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
101,Robbery,"Juice WRLD",1624,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
102,"Don't Stop Me Now - 2011 Mix",Queen,1608,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
103,"'Till I Collapse",Eminem,1598,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
104,Secreto,"Anuel AA",1585,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
105,"In My Mind",Dynoro,1579,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
106,"Sunset Lover","Petit Biscuit",1568,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
107,Thunderclouds,Sia,1554,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
108,Believer,"Imagine Dragons",1531,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
109,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1528,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
110,idontwannabeyouanymore,"Billie Eilish",1518,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
111,Freaky,"Tory Lanez",1499,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
112,"Sari Sari Sari","Sin Boy",1498,https://open.spotify.com/track/7jbXufm1Aq65nRAHbCSAdU
113,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,1451,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
114,"Lose Yourself - Soundtrack Version",Eminem,1449,https://open.spotify.com/track/7Ay6DFK9fvEEjLoy411wh6
