,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"HIGHEST IN THE ROOM","Travis Scott",17985,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
2,"Dance Monkey","Tones And I",14742,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Señorita,"Shawn Mendes",8099,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,Caliente,"Mente Fuerte",8010,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
5,Senorita,SNIK,7943,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
6,Business,TOQUEL,7875,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
7,Lalala,Y2K,7604,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
8,Circles,"Post Malone",7178,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"Beautiful People (feat. Khalid)","Ed Sheeran",6791,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,"How Do You Sleep?","Sam Smith",6657,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
11,"Someone You Loved","Lewis Capaldi",6466,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",5436,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
13,Sandra,TOQUEL,5206,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
14,"bad guy","Billie Eilish",5025,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,Liar,"Camila Cabello",5009,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
16,"I Don't Care (with Justin Bieber)","Ed Sheeran",4970,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
17,"10,000 Hours (with Justin Bieber)","Dan + Shay",4921,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
18,"hot girl bummer",blackbear,4806,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",4725,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
20,Stars,TOQUEL,4589,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
21,Memories,"Maroon 5",4579,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,Netflix,TOQUEL,4577,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
23,Panini,"Lil Nas X",4570,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
24,"Pantha - Remix",Dappy,4473,https://open.spotify.com/track/5stBsOR6RPnwlA3rN6fqcI
25,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",4248,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
26,"Goodbyes (Feat. Young Thug)","Post Malone",4247,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
27,Saint-Tropez,"Post Malone",4111,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
28,Ransom,"Lil Tecca",4097,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
29,"Money In The Grave (Drake ft. Rick Ross)",Drake,3952,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
30,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",3915,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
31,"De Me Theloun",Fy,3912,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
32,"Piece Of Your Heart",MEDUZA,3738,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
33,"Higher Love",Kygo,3681,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
34,"Deja Vu",Hawk,3680,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
35,Mama?,"Sin Boy",3669,https://open.spotify.com/track/6m69YzoQgEkhPnWIhXswcJ
36,"boyfriend (with Social House)","Ariana Grande",3636,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
37,Graveyard,Halsey,3562,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
38,"No Guidance (feat. Drake)","Chris Brown",3546,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
39,"Devil Eyes","Hippie Sabotage",3496,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
40,Gigi,Rina,3490,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
41,"Takeaway (feat. Lennon Stella)","The Chainsmokers",3399,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
42,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",3394,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
43,"Ride It",Regard,3332,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
44,"Old Town Road - Remix","Lil Nas X",3260,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
45,"223's (feat. 9lokknine)","YNW Melly",3222,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
46,Kilo,SNIK,3068,https://open.spotify.com/track/6KRoKgWrly4FHndE6E1Ent
47,"Cry for Me","Camila Cabello",3004,https://open.spotify.com/track/40nPimvmG05WYS7983bawZ
48,Mosca,Light,2996,https://open.spotify.com/track/3rwuYQM6eEqTLWapNYAeZD
49,Ritual,Tiësto,2914,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
50,Sientelo,"Sin Boy",2890,https://open.spotify.com/track/72LbDyLOLImnk1YJEDkqfF
51,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2867,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
52,"Truth Hurts",Lizzo,2846,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
53,Motivation,Normani,2825,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
54,"Hollywood's Bleeding","Post Malone",2813,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
55,"fuck, i'm lonely",Lauv,2813,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
56,"Hot (feat. Gunna)","Young Thug",2805,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
57,Shallow,"Lady Gaga",2702,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
58,"It's You","Ali Gatie",2690,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
59,"Good as Hell",Lizzo,2670,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
60,Djadja,"Aya Nakamura",2618,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
61,"The London (feat. J. Cole & Travis Scott)","Young Thug",2608,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
62,"Hola Señorita","Maître Gims",2569,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
63,"Valto Terma","Nikos Oikonomopoulos",2558,https://open.spotify.com/track/1AMX9YprkGGcyQPyzOuNbw
64,"MVP Freestyle",Light,2517,https://open.spotify.com/track/7JFHUJUtOP9xCdkcK935OZ
65,"lovely (with Khalid)","Billie Eilish",2514,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,"Let Me Down Slowly","Alec Benjamin",2447,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
67,Medusa,SNIK,2430,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
68,BOP,DaBaby,2418,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
69,#31#,"Sin Boy",2417,https://open.spotify.com/track/4ds6k3is0RNjqZoZC8T9z7
70,"Ta Leme Meta",TOQUEL,2414,https://open.spotify.com/track/3ucPVIMQmNsnLkuoTmUAvf
71,"7 rings","Ariana Grande",2399,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
72,"If I Can't Have You","Shawn Mendes",2385,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
73,"Mad Love",Mabel,2372,https://open.spotify.com/track/0bfWT3AgM7ZTuqesJvRP6H
