,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",10603,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,Shallow,"Lady Gaga",7934,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6560,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
4,Better,Khalid,5855,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
5,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",5853,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
6,Happier,Marshmello,5811,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,"MIA (feat. Drake)","Bad Bunny",5663,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
8,"Without Me",Halsey,5600,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"Promises (with Sam Smith)","Calvin Harris",4860,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
10,"when the party's over","Billie Eilish",4529,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
11,"Kiss and Make Up","Dua Lipa",4469,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
12,"Venom - Music From The Motion Picture",Eminem,4437,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
13,"Falling Down - Bonus Track","Lil Peep",4200,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
14,"SICKO MODE","Travis Scott",4165,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
15,"Let You Love Me","Rita Ora",4149,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
16,Moonlight,XXXTENTACION,4143,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,"I Love It (& Lil Pump)","Kanye West",4067,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
18,"In My Mind",Dynoro,4022,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
19,"Eastside (with Halsey & Khalid)","benny blanco",3880,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,"Better Now","Post Malone",3843,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"Suncity (feat. Empress Of)",Khalid,3821,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
22,Natural,"Imagine Dragons",3760,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
23,"Be Alright","Dean Lewis",3619,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
24,"No Stylist (feat. Drake)","French Montana",3562,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
25,SAD!,XXXTENTACION,3531,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
26,"Lucky You (feat. Joyner Lucas)",Eminem,3503,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
27,"Girls Like You (feat. Cardi B)","Maroon 5",3407,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
