,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",16306,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Godzilla (feat. Juice WRLD)",Eminem,14609,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
3,"Dance Monkey","Tones And I",11549,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Falling,"Trevor Daniel",10794,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,"Life Is Good (feat. Drake)",Future,10422,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
6,"Blinding Lights","The Weeknd",9430,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,ROXANNE,"Arizona Zervas",8796,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,Yummy,"Justin Bieber",8499,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
9,"everything i wanted","Billie Eilish",7795,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,"Don't Start Now","Dua Lipa",7608,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,Circles,"Post Malone",6726,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,Darkness,Eminem,6313,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
13,Memories,"Maroon 5",6153,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
14,"Ayy Macarena",Tyga,6087,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
15,"My Oh My (feat. DaBaby)","Camila Cabello",5858,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
16,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,5835,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
17,"HIGHEST IN THE ROOM","Travis Scott",5820,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
18,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,5796,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
19,"Unaccommodating (feat. Young M.A)",Eminem,5759,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
20,Rare,"Selena Gomez",5709,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
21,"You should be sad",Halsey,5608,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
22,"Lose You To Love Me","Selena Gomez",5369,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
23,"What A Man Gotta Do","Jonas Brothers",5353,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
24,"Leaving Heaven (feat. Skylar Grey)",Eminem,4970,https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq
25,"Someone You Loved","Lewis Capaldi",4809,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"Lose Control",MEDUZA,4764,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
27,Senorita,SNIK,4656,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
28,BOP,DaBaby,4645,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
29,Señorita,"Shawn Mendes",4626,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,"Before You Go","Lewis Capaldi",4609,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"RITMO (Bad Boys For Life)","Black Eyed Peas",4550,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
32,"No Idea","Don Toliver",4532,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
33,Caliente,"Mente Fuerte",4371,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
34,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,4306,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
35,"Adore You","Harry Styles",4303,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
36,"Good News","Mac Miller",4140,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
37,"In Too Deep",Eminem,4112,https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr
38,"bad guy","Billie Eilish",4083,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,"Watermelon Sugar","Harry Styles",4000,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
40,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",3855,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
41,"Premonition - Intro",Eminem,3822,https://open.spotify.com/track/7ccTcabbJlCJiIqtrSSwBk
42,"I Don't Care (with Justin Bieber)","Ed Sheeran",3769,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
43,Marsh,Eminem,3755,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
44,"BIG MAN",SNIK,3727,https://open.spotify.com/track/7qd01xrME77eyWqGPumC2J
45,"Roses - Imanbek Remix","SAINt JHN",3658,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
