,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",13541,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Roses - Imanbek Remix","SAINt JHN",11450,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,"Blinding Lights","The Weeknd",10997,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Falling,"Trevor Daniel",8867,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,"Dance Monkey","Tones And I",8595,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Don't Start Now","Dua Lipa",8009,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Slang,Light,7602,https://open.spotify.com/track/0QoBn12Uo7oDv3zzz4QV1v
8,"Godzilla (feat. Juice WRLD)",Eminem,7170,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
9,"Life Is Good (feat. Drake)",Future,6941,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,ROXANNE,"Arizona Zervas",6851,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
11,"Intentions (feat. Quavo)","Justin Bieber",6750,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,"No Time To Die","Billie Eilish",6521,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
13,"everything i wanted","Billie Eilish",6380,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,"Say So","Doja Cat",6376,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,Physical,"Dua Lipa",6007,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
16,"Sunday Best",Surfaces,5852,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,"Blueberry Faygo","Lil Mosey",5579,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
