,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Boss Bitch","Doja Cat",3473,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
57,"Play Date","Melanie Martinez",3434,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
58,"everything i wanted","Billie Eilish",3398,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
59,Senorita,SNIK,3363,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
60,"Skase Ena Fili","Nikos Oikonomopoulos",3362,https://open.spotify.com/track/6FKRaiIsNJsfOxBORvxW2U
61,"Adore You","Harry Styles",3362,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
62,Why,SNIK,3328,https://open.spotify.com/track/6htdPLrUVE4Kq3zzLOpVIh
63,"Godzilla (feat. Juice WRLD)",Eminem,3317,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
64,"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX",DaBaby,3312,https://open.spotify.com/track/4Aykm3xrOFSHrAnv80KUhh
65,"Misi Kardia",Melisses,3308,https://open.spotify.com/track/3E9Ccd3OMyENc0mBVYeJYt
66,"Paradothika Se Sena","Natasa Theodoridou",3271,https://open.spotify.com/track/5QDuZmPGzs8NIAG1fyfgsy
67,Memories,"Maroon 5",3221,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
68,Señorita,"Shawn Mendes",3200,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
69,Circles,"Post Malone",3173,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
70,"Lucid Dreams","Juice WRLD",3034,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,"Say So","Doja Cat",3032,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
72,"Rover (feat. DTG)",S1mba,3021,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
73,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",2987,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
74,Varane,"Dof Twogee",2982,https://open.spotify.com/track/2d4DjOhZD8gHitp39slVz3
75,"Say So (feat. Nicki Minaj)","Doja Cat",2976,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
76,Dior,"Pop Smoke",2950,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
77,RIKITA,Claydee,2949,https://open.spotify.com/track/653cGrgrbNs2KM3949i7Fg
78,"Lose Control",MEDUZA,2946,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
79,OKEY,"DJ Stephan",2904,https://open.spotify.com/track/1kOLCgJK3r02mZHOnaQuKS
80,"OUT WEST (feat. Young Thug)",JACKBOYS,2895,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
81,Secrets,Regard,2890,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
82,Slang,Light,2864,https://open.spotify.com/track/0QoBn12Uo7oDv3zzz4QV1v
83,Drip,SNIK,2849,https://open.spotify.com/track/5o9X0DpYnZvBJ5IRR7ZwiB
84,"bad guy","Billie Eilish",2791,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
85,"Chicago Freestyle (feat. Giveon)",Drake,2776,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
86,Online,SNIK,2762,https://open.spotify.com/track/0wOsbCajTcYcXy4fpUlPIC
87,Sorry,Sigma,2762,https://open.spotify.com/track/2Cdr30vauxNgjpzGhaBSbj
88,"Know Your Worth",Khalid,2730,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
89,"lovely (with Khalid)","Billie Eilish",2722,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
90,"I Don't Care (with Justin Bieber)","Ed Sheeran",2704,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
91,Physical,"Dua Lipa",2611,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
