,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",51502,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,Sucker,"Jonas Brothers",49874,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
3,"Con Calma","Daddy Yankee",44173,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,"break up with your girlfriend, i'm bored","Ariana Grande",43987,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
5,Wow.,"Post Malone",42360,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
6,"Without Me",Halsey,39366,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",36871,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
8,"bury a friend","Billie Eilish",34513,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
9,"Let Me Down Slowly","Alec Benjamin",34224,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
10,"Don't Call Me Up",Mabel,33505,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
11,"MIDDLE CHILD","J. Cole",32722,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
12,"Sweet but Psycho","Ava Max",30438,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
13,"Calma - Remix","Pedro Capó",30200,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
14,"Dancing With A Stranger (with Normani)","Sam Smith",29958,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
15,"Rege Pa Romania",Abi,29858,https://open.spotify.com/track/7DQNsywROolBAwwjQ0NXWV
16,"Here With Me",Marshmello,28246,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
17,"wish you were gay","Billie Eilish",27985,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
18,Shallow,"Lady Gaga",27915,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
19,"i'm so tired...",Lauv,27229,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
20,Happier,Marshmello,26939,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
21,"Pure Water (with Migos)",Mustard,26889,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
22,"Last Hurrah","Bebe Rexha",26504,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
23,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",24593,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
24,"SICKO MODE","Travis Scott",24331,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
25,"Going Bad (feat. Drake)","Meek Mill",24194,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
26,"My Bad",Khalid,23264,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
27,"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes",22809,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
28,"Better Now","Post Malone",22659,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
