,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",62536,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,"bad guy","Billie Eilish",61026,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",50872,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,"Old Town Road","Lil Nas X",36776,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,Sucker,"Jonas Brothers",34042,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
6,"The London (feat. J. Cole & Travis Scott)","Young Thug",33991,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
7,"SOS (feat. Aloe Blacc)",Avicii,33585,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
8,"If I Can't Have You","Shawn Mendes",32922,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
9,"7 rings","Ariana Grande",31367,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
10,Heaven,Avicii,30921,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
11,"Con Calma","Daddy Yankee",29490,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
12,Wow.,"Post Malone",29394,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
13,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",28659,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
14,"Dream Glow (BTS World Original Soundtrack) - Pt. 1",BTS,28153,https://open.spotify.com/track/4c1WgUnHXq2LEncGHKgj1I
15,"Without Me",Halsey,25644,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
16,"Don't Call Me Up",Mabel,24354,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
17,POEM,"The Motans",24108,https://open.spotify.com/track/7nY4dQPdqg5apceI2xnJRt
18,"Call You Mine","The Chainsmokers",24037,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
19,"Mother's Daughter","Miley Cyrus",23999,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
20,Shoturi,"Lino Golden",23917,https://open.spotify.com/track/4cet1h6g3gmjvd0kloLWp1
21,"bury a friend","Billie Eilish",23683,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
22,"Never Really Over","Katy Perry",23581,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
23,"Only Human","Jonas Brothers",22866,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
24,"Calma - Remix","Pedro Capó",22856,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
25,"Sweet but Psycho","Ava Max",22812,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
26,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",22688,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
27,"Go Loko (feat. Tyga, Jon Z)",YG,22609,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
28,"Someone You Loved","Lewis Capaldi",22203,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,"Rescue Me",OneRepublic,22113,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
30,Happier,Marshmello,21854,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
31,EARFQUAKE,"Tyler, The Creator",21454,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
32,"Let Me Down Slowly","Alec Benjamin",20749,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
33,Youngblood,"5 Seconds of Summer",20555,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
34,"when the party's over","Billie Eilish",20344,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",20291,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
36,"Bag Un Blunt",Ian,20026,https://open.spotify.com/track/1nGnZ1SNJHg0qmCKZLiCgi
37,Easier,"5 Seconds of Summer",19998,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
38,"i'm so tired...",Lauv,19486,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
39,"Never Go Back","Dennis Lloyd",19476,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
40,"Taste (feat. Offset)",Tyga,19421,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
41,"Eastside (with Halsey & Khalid)","benny blanco",19411,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
42,"SICKO MODE","Travis Scott",19189,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
43,"rockstar (feat. 21 Savage)","Post Malone",19057,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
44,SAD!,XXXTENTACION,19052,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
45,"break up with your girlfriend, i'm bored","Ariana Grande",18995,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
46,Nightmare,Halsey,18990,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
47,Suge,DaBaby,18970,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
48,"Boy With Luv (feat. Halsey)",BTS,18818,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
49,"lovely (with Khalid)","Billie Eilish",18788,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
50,"Piece Of Your Heart",MEDUZA,18759,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
51,"60 De Zile",Ian,18457,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
52,"Dancing With A Stranger (with Normani)","Sam Smith",18266,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
53,"Haute (feat. J Balvin & Chris Brown)",Tyga,18249,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7
54,"Pure Water (with Migos)",Mustard,18240,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
55,"Better Now","Post Malone",17816,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
56,"Mad Love",Mabel,17813,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
57,"Clout (feat. Cardi B)",Offset,17580,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
