,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",96443,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Antisocial (with Travis Scott)","Ed Sheeran",51000,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",48112,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Beautiful People (feat. Khalid)","Ed Sheeran",47376,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,"bad guy","Billie Eilish",44016,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
6,"Goodbyes (Feat. Young Thug)","Post Malone",42277,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,"I Don't Care (with Justin Bieber)","Ed Sheeran",42021,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
8,Lalala,Y2K,37725,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
9,"How Do You Sleep?","Sam Smith",36360,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
10,"Loco Contigo","DJ Snake",35636,https://open.spotify.com/track/1fBXSMOusjaj7GjzErHmUI
11,"bad guy (with Justin Bieber)","Billie Eilish",34214,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
12,Panini,"Lil Nas X",32353,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
13,"Money In The Grave (Drake ft. Rick Ross)",Drake,29830,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
14,Ransom,"Lil Tecca",28498,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
15,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",25977,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
16,"7 rings","Ariana Grande",25772,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,"Old Town Road","Lil Nas X",25482,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
18,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",25317,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
19,"If I Can't Have You","Shawn Mendes",25206,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
20,"Strazile din Bucuresti","Florian Rus",24719,https://open.spotify.com/track/1tDk0Jot1RkxsPTPXaNM7k
21,"Someone You Loved","Lewis Capaldi",24576,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"The London (feat. J. Cole & Travis Scott)","Young Thug",24413,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
23,"60 De Zile",Ian,23734,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
24,"Con Calma","Daddy Yankee",23393,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
25,"Go Loko (feat. Tyga, Jon Z)",YG,23022,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
26,Sucker,"Jonas Brothers",22828,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
27,Rodeo,"Lil Nas X",22146,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
