,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",52378,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"Without Me",Halsey,45467,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
3,"SICKO MODE","Travis Scott",35563,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",32571,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",32417,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
6,"thank u, next","Ariana Grande",32351,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",32194,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,"Sweet but Psycho","Ava Max",31631,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,SAD!,XXXTENTACION,29826,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"Better Now","Post Malone",29606,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"Going Bad (feat. Drake)","Meek Mill",26728,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
12,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,25589,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
13,"Eastside (with Halsey & Khalid)","benny blanco",25320,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
14,"Say My Name","David Guetta",25134,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
15,"rockstar (feat. 21 Savage)","Post Malone",24886,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
16,"High Hopes","Panic! At The Disco",24469,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
17,Shallow,"Lady Gaga",23893,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
18,Moonlight,XXXTENTACION,23779,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",23577,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
20,"Taste (feat. Offset)",Tyga,23248,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,Youngblood,"5 Seconds of Summer",22326,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
22,"Mo Bamba","Sheck Wes",22292,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
23,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",21875,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
24,Happier,Marshmello,21657,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
25,"In My Mind",Dynoro,21325,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
26,SOS,5GANG,21211,https://open.spotify.com/track/2o6zL2P1HRhVwvYGO6gGGq
27,"when the party's over","Billie Eilish",20491,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
28,"I Like It","Cardi B",19983,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
29,"whoa (mind in awe)",XXXTENTACION,19878,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
30,"Kiss and Make Up","Dua Lipa",19522,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
31,monster,"21 Savage",19215,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
32,lovely,"Billie Eilish",19083,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
33,"Butterfly Doors","Lil Pump",18984,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
34,"Look Back at It","A Boogie Wit da Hoodie",18343,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
35,"Let You Love Me","Rita Ora",18082,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
