,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Higher Love",Kygo,18128,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
56,"hot girl bummer",blackbear,18105,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"Don't Call Me Up",Mabel,17978,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
58,"Truth Hurts",Lizzo,17666,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
59,POEM,"The Motans",17648,https://open.spotify.com/track/7nY4dQPdqg5apceI2xnJRt
60,"Eastside (with Halsey & Khalid)","benny blanco",17641,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
61,"If I Can't Have You","Shawn Mendes",17561,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
62,Nimeni,"Killa Fonic",17289,https://open.spotify.com/track/7pZCJUBqqzJh0nQXgvBDXw
63,"when the party's over","Billie Eilish",17166,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
64,"bury a friend","Billie Eilish",16959,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
65,Antimilitie,Parazitii,16924,https://open.spotify.com/track/0B9AFbKjQvLy0xUFWwakNr
66,B.M.V.,Nane,16911,https://open.spotify.com/track/0YF7NWEb8CTZQFXCIL2Ztq
67,Motivation,Normani,16614,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
68,"rockstar (feat. 21 Savage)","Post Malone",16574,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,"BUTTERFLY EFFECT","Travis Scott",16303,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
70,"Hot (feat. Gunna)","Young Thug",16074,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
71,Moonlight,XXXTENTACION,16048,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,Happier,Marshmello,16043,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
73,SAD!,XXXTENTACION,15997,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
74,"Taste (feat. Offset)",Tyga,15565,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
75,"Babushka Boi","A$AP Rocky",15545,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
76,"Old Town Road","Lil Nas X",15304,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
77,"Antisocial (with Travis Scott)","Ed Sheeran",15154,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
78,"A Thousand Bad Times","Post Malone",15137,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
79,Camelot,"NLE Choppa",15128,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
80,Shoturi,"Lino Golden",15078,https://open.spotify.com/track/4cet1h6g3gmjvd0kloLWp1
81,China,"Anuel AA",15028,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
82,"Better Now","Post Malone",14935,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
83,"Sweet but Psycho","Ava Max",14820,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
84,"Hola Señorita","Maître Gims",14746,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
85,Flexez,Ian,14731,https://open.spotify.com/track/0EoMxf417PnGSsdpMGg1hE
86,"break up with your girlfriend, i'm bored","Ariana Grande",14621,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
87,"Yo x Ti, Tu x Mi",ROSALÍA,14437,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
88,"Never Go Back","Dennis Lloyd",14383,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
89,"3 Lucruri",Nane,14310,https://open.spotify.com/track/1hrvlGX3liDkT1VsSL9uDN
90,Instagram,"Dimitri Vegas & Like Mike",14254,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
91,"you should see me in a crown","Billie Eilish",14122,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
92,"SOS (feat. Aloe Blacc)",Avicii,13982,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
93,"Rescue Me",OneRepublic,13904,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
94,"I Like Me Better",Lauv,13833,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
95,"Ne Topim","Carla's Dreams",13744,https://open.spotify.com/track/2JUwAtDzQxhcLYmWNmsfaK
96,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",13732,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
97,Believer,"Imagine Dragons",13708,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"60 De Zile II",Ian,13663,https://open.spotify.com/track/1znkeVc5PxzRY1Ua0vBmg7
99,"Dancing With A Stranger (with Normani)","Sam Smith",13650,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
100,"Behind Barz - Bonus",Drake,13576,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
101,"Call You Mine","The Chainsmokers",13351,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
102,Manele,Spike,13307,https://open.spotify.com/track/4sjX0Ak7dlifrPCyC0NiqL
103,"i'm so tired...",Lauv,13175,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
104,"I'm Gonna Be","Post Malone",13159,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
105,Shallow,"Lady Gaga",13104,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
106,Lover,"Taylor Swift",13097,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
107,"Be Alright","Dean Lewis",13088,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
108,"Milano Mood",Nane,12915,https://open.spotify.com/track/31rai8QLbAPPV3P6JxLRJL
109,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",12907,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
110,"Pure Water (with Migos)",Mustard,12905,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
111,"Fisa - Freestyle","Super Ed",12812,https://open.spotify.com/track/112qBUNlsahe1nBKdek7tD
112,"Bad Bad Bad (feat. Lil Baby)","Young Thug",12772,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
113,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",12691,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
114,"Lucid Dreams","Juice WRLD",12681,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
115,"On My Way","Alan Walker",12642,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
116,Zendaya,Ian,12626,https://open.spotify.com/track/1Rn0BcmlMIln0tapy6CaRW
