,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",59358,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,"bad guy","Billie Eilish",58764,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",48210,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,"Old Town Road","Lil Nas X",39423,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,"The London (feat. J. Cole & Travis Scott)","Young Thug",35528,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
6,"If I Can't Have You","Shawn Mendes",33853,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
7,"7 rings","Ariana Grande",31593,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
8,Sucker,"Jonas Brothers",29928,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
9,Wow.,"Post Malone",29226,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
10,"Mother's Daughter","Miley Cyrus",28614,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
11,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",27905,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
12,"Without Me",Halsey,26531,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
13,"Don't Call Me Up",Mabel,26493,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
14,POEM,"The Motans",26290,https://open.spotify.com/track/7nY4dQPdqg5apceI2xnJRt
15,"Con Calma","Daddy Yankee",26272,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
16,SOS,Avicii,25785,https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx
17,"Never Really Over","Katy Perry",25248,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
18,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",25143,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
19,Press,"Cardi B",24836,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
20,"bury a friend","Billie Eilish",24531,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
21,EARFQUAKE,"Tyler, The Creator",24128,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
22,"Call You Mine","The Chainsmokers",24078,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
23,"Find U Again (feat. Camila Cabello)","Mark Ronson",23960,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
24,Easier,"5 Seconds of Summer",23728,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
25,"Sweet but Psycho","Ava Max",22719,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
26,"Someone You Loved","Lewis Capaldi",22558,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Nightmare,Halsey,22218,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
28,"Calma - Remix","Pedro Capó",22003,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
29,"Let Me Down Slowly","Alec Benjamin",21738,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
30,Happier,Marshmello,21630,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",20759,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
32,"Rescue Me",OneRepublic,20659,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
33,"Go Loko (feat. Tyga, Jon Z)",YG,20637,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
34,"when the party's over","Billie Eilish",20485,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
35,Youngblood,"5 Seconds of Summer",20434,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
36,"Homicide (feat. Eminem)",Logic,19463,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
37,"SICKO MODE","Travis Scott",19450,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
38,"Eastside (with Halsey & Khalid)","benny blanco",19221,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
