,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Promises (with Sam Smith)","Calvin Harris",431956,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
2,"I Love It (& Lil Pump)","Kanye West",403568,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Eastside (with Halsey & Khalid)","benny blanco",396655,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
4,Happier,Marshmello,328427,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"In My Mind",Dynoro,312530,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
6,"Be Alright","Dean Lewis",288172,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
7,"Body (feat. brando)","Loud Luxury",267156,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
8,"Electricity (with Dua Lipa)","Silk City",258108,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
9,"Falling Down - Bonus Track","Lil Peep",247301,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
10,Shotgun,"George Ezra",232011,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
11,"No Brainer","DJ Khaled",196262,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"Lucky You (feat. Joyner Lucas)",Eminem,193630,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
13,breathin,"Ariana Grande",193274,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
14,"In My Feelings",Drake,182167,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,"God is a woman","Ariana Grande",177272,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
16,Rise,"Jonas Blue",174744,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,Thunderclouds,Sia,172316,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
18,Better,Khalid,166059,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
19,"All I Am","Jess Glynne",160632,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
20,"Lucid Dreams","Juice WRLD",155628,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
21,Killshot,Eminem,149705,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
22,"High Hopes","Panic! At The Disco",134560,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
23,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",128709,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
24,"SICKO MODE","Travis Scott",126948,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
25,Nevermind,"Dennis Lloyd",126511,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
26,Youngblood,"5 Seconds of Summer",125985,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
27,"If You're Over Me","Years & Years",125984,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
28,"Jackie Chan",Tiësto,124374,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
29,"Taste (feat. Offset)",Tyga,120884,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
30,"Solo (feat. Demi Lovato)","Clean Bandit",118057,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
31,"Girls Like You (feat. Cardi B)","Maroon 5",114688,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
32,"Beautiful (feat. Camila Cabello)",Bazzi,111456,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
33,"Only You (with Little Mix)","Cheat Codes",110386,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
34,"Better Now","Post Malone",106847,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
35,"Happy Now",Zedd,106781,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
36,SAD!,XXXTENTACION,106775,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
37,2002,Anne-Marie,105214,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
38,"Ocean (feat. Khalid)","Martin Garrix",104781,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
39,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",98917,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
40,"One Kiss (with Dua Lipa)","Calvin Harris",97818,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
41,Paradise,"George Ezra",97074,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
42,"No Stylist (feat. Drake)","French Montana",94744,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
43,"no tears left to cry","Ariana Grande",92641,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
44,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",90804,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
45,"RAP DEVIL","Machine Gun Kelly",90177,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr
46,"The Ringer",Eminem,89330,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
47,"Back & Forth",MK,89146,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA
48,Natural,"Imagine Dragons",88929,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
49,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",88134,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
50,Fall,Eminem,83497,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
51,"Just Got Paid",Sigala,79614,https://open.spotify.com/track/0v3BMLcwUmAwyqJaf5997o
52,"Born To Be Yours",Kygo,77403,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
53,"Let You Love Me","Rita Ora",75578,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
54,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",74322,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
55,REMEDY,Alesso,71542,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
56,"Want To","Dua Lipa",67910,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
57,"Wake Up in the Sky","Gucci Mane",67800,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
58,"I Like It","Cardi B",67626,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
59,Nonstop,Drake,67454,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
60,Anywhere,Sigma,66071,https://open.spotify.com/track/6lD9nDl7jBUSIPDMAMZjuD
61,"God's Plan",Drake,65248,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
62,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,64357,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
63,"Lost Without You","Freya Ridings",63778,https://open.spotify.com/track/3QlF2ExmrRP0RM7ffv7y0Q
