,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,Play,"Jax Jones",76285,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5
58,Grace,"Lewis Capaldi",75923,https://open.spotify.com/track/4eQBL0cuF3ismYCzBff2Ii
59,"Perfect to Me",Anne-Marie,75343,https://open.spotify.com/track/0DC7Zs2qvAbNK1owWQ4mlL
60,"rockstar (feat. 21 Savage)","Post Malone",75066,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
61,"One Kiss (with Dua Lipa)","Calvin Harris",74736,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
62,"I Found You (with Calvin Harris)","benny blanco",74116,https://open.spotify.com/track/1kQhi22kyluRCnIPAXtxEZ
63,Polaroid,"Jonas Blue",73176,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
64,"Hold My Girl","George Ezra",72927,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
65,lovely,"Billie Eilish",72828,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
66,"Taste (feat. Offset)",Tyga,72563,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
67,"Solo (feat. Demi Lovato)","Clean Bandit",71164,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
68,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",70962,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
69,"Girls Like You (feat. Cardi B)","Maroon 5",70264,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
70,breathin,"Ariana Grande",68911,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
71,"Bohemian Rhapsody - 2011 Mix",Queen,66929,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
72,Moonlight,XXXTENTACION,66355,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
73,"Come Alive","Hugh Jackman",66001,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
74,"whoa (mind in awe)",XXXTENTACION,65413,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
75,"I Love It (& Lil Pump)","Kanye West",65202,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
76,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,64771,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
77,"I Like It","Cardi B",64438,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
78,Money,"Cardi B",64276,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
79,"I'll Be There","Jess Glynne",64254,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ
80,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",62451,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
81,"Nice For What",Drake,61589,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
82,"Happy Now",Kygo,60607,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
83,Nonstop,Drake,59310,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
84,"Bad Liar","Imagine Dragons",58546,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
85,"God is a woman","Ariana Grande",58110,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
86,idontwannabeyouanymore,"Billie Eilish",58047,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
87,"If You're Over Me","Years & Years",57995,https://open.spotify.com/track/3IWDUiOsV0Q8XhQKJNxxML
88,"Baby Shark",Pinkfong,57985,https://open.spotify.com/track/5ygDXis42ncn6kYG14lEVG
89,"Psycho (feat. Ty Dolla $ign)","Post Malone",57865,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
90,monster,"21 Savage",57821,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
91,"Mr. Brightside","The Killers",56398,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
92,Thunderclouds,Sia,55663,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
93,Tightrope,"Michelle Williams",54853,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa
94,"Jocelyn Flores",XXXTENTACION,54442,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
95,"Everything Or Nothing","Picture This",53868,https://open.spotify.com/track/01KMuGGsO4bzGFnq7Hiic9
96,"A Million Dreams",P!nk,53623,https://open.spotify.com/track/0oagwWkGlBoACUuKvTmqZV
97,"Someone You Loved","Lewis Capaldi",53555,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
98,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",53170,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
99,"Jackie Chan",Tiësto,52933,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
100,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",52832,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
101,IDGAF,"Dua Lipa",52452,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
102,"Hurts Like Hell (feat. Offset)","Madison Beer",51886,https://open.spotify.com/track/3WefHNGtjexZvi66ZEx9u4
103,"I Fall Apart","Post Malone",51697,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
104,"Leave Me Alone","Flipp Dinero",51486,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
105,"All I Am","Jess Glynne",51134,https://open.spotify.com/track/5GNjiM8jZCgbqjHklAcT9e
106,"It's Not Living (If It's Not With You)","The 1975",51042,https://open.spotify.com/track/3TgMcrV32NUKjEG2ujn9eh
107,"Lost Without You","Freya Ridings",50854,https://open.spotify.com/track/6EelrDeZGS0Z81NhXevtrJ
108,KIKA,6ix9ine,50807,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
109,"Look Back at It","A Boogie Wit da Hoodie",50197,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
110,"New Rules","Dua Lipa",50099,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
111,Africa,TOTO,49720,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
112,"Don't Stop Me Now - 2011 Mix",Queen,49698,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
113,"A Million Dreams (Reprise)","Austyn Johnson",49522,https://open.spotify.com/track/66y7x28jXOPrcmu3D5Zjh6
114,bellyache,"Billie Eilish",48872,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
115,"Funky Friday",Dave,48698,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
116,"Havana (feat. Young Thug)","Camila Cabello",48544,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
117,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",48425,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
118,BAD!,XXXTENTACION,47847,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
119,"Leave a Light On","Tom Walker",47475,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
120,"Suncity (feat. Empress Of)",Khalid,47042,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
121,"Everywhere - 2017 Remaster","Fleetwood Mac",46810,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
122,"Shape of You","Ed Sheeran",45852,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
123,"a lot","21 Savage",45598,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
124,Budapest,"George Ezra",45505,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
125,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",45146,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
126,"ocean eyes","Billie Eilish",45054,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
127,"Fire On Fire - From ""Watership Down""","Sam Smith",44868,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
128,FRIENDS,Marshmello,44428,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
129,"Project Dreams",Marshmello,44402,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
130,"The Middle",Zedd,44098,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
131,Nevermind,"Dennis Lloyd",43287,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
132,"Lucky You (feat. Joyner Lucas)",Eminem,43187,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
133,"Take My Hand","Picture This",42575,https://open.spotify.com/track/7i0f3jhZMdGvVg2XrmQfKi
134,"All The Stars (with SZA)","Kendrick Lamar",42530,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
135,"I'll Never Love Again - Film Version - Radio Edit","Lady Gaga",42042,https://open.spotify.com/track/3DKpA54hrFIdPN6AtL9HXa
136,Honey,"070 Shake",41903,https://open.spotify.com/track/0PoMoPqIJxe6H0rDMnpGP8
137,Lullaby,Sigala,41793,https://open.spotify.com/track/6Z0CSptkTKzOpownOPnK5g
138,"Say You Won't Let Go","James Arthur",41595,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
139,"Never Enough (Reprise)","Loren Allred",41540,https://open.spotify.com/track/6f8b6mxNNDJdE5tC4MCTxt
140,"Love Lies (with Normani)",Khalid,41061,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
141,"Feel It Still","Portugal. The Man",40995,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
142,Unforgettable,"French Montana",40744,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
143,Ketamine,Versatile,40508,https://open.spotify.com/track/34gM5PULxWtqbplXUwbAo8
144,"No Stylist (feat. Drake)","French Montana",40248,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
145,"Falling Down - Bonus Track","Lil Peep",39818,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
146,Happier,"Ed Sheeran",39679,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
147,changes,XXXTENTACION,39460,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
148,"Only You (with Little Mix)","Cheat Codes",39438,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
149,"A Spaceman Came Travelling (feat. Nina Nesbitt)","John Gibbons",39275,https://open.spotify.com/track/0EtbUVT2JIvm34tOJwLorJ
150,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",39272,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
151,"Another One Bites The Dust - Remastered 2011",Queen,39203,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
152,"Too Good At Goodbyes","Sam Smith",38972,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
153,"Found What I've Been Looking For","Tom Grennan",38960,https://open.spotify.com/track/4Gw1SXoN1MlAmdM3J1NjmR
154,"Look Alive (feat. Drake)","BlocBoy JB",38648,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
155,"In My Head","Peter Manos",38612,https://open.spotify.com/track/1tT55K6VEyO6XFDxK4lDQe
156,"You Make My Dreams (Come True)","Daryl Hall & John Oates",38252,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
157,Always,"Gavin James",38174,https://open.spotify.com/track/1w0qg01gZLzPPH5R0cTCuW
158,"Freaky Friday (feat. Chris Brown)","Lil Dicky",38158,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
159,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",38145,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
160,"MIA (feat. Drake)","Bad Bunny",37785,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
161,"No Brainer","DJ Khaled",37385,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
162,"Armed And Dangerous","Juice WRLD",37201,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
163,September,"Earth, Wind & Fire",37086,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
164,Grip,Seeb,36782,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
165,"Under Pressure - Remastered",Queen,36707,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
166,"Baby (feat. MARINA & Luis Fonsi)","Clean Bandit",36643,https://open.spotify.com/track/5XWCc9wQes7X5uyYH9h5JR
167,Congratulations,"Post Malone",36570,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
168,"This Morning","Picture This",36417,https://open.spotify.com/track/3phOtFs7faVgUInMMaJ3RD
169,"Don't Stop Believin'",Journey,36240,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
170,"One Last Time","Ariana Grande",36207,https://open.spotify.com/track/1CAksvEO6oRHd9bBKWAfuY
171,Perfect,"Ed Sheeran",35878,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
172,"Castle on the Hill","Ed Sheeran",35693,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
173,"come out and play","Billie Eilish",35441,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
174,"Wonderwall - Remastered",Oasis,35366,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
175,"Wake Up in the Sky","Gucci Mane",35233,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
176,"Born To Be Yours",Kygo,35200,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
177,"River (feat. Ed Sheeran)",Eminem,35091,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
178,"I Want It That Way","Backstreet Boys",35004,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya
179,YOSEMITE,"Travis Scott",34876,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
180,"Losing It",FISHER,34760,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
181,"Beautiful (feat. Camila Cabello)",Bazzi,34596,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
182,"In My Blood","Shawn Mendes",34215,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
183,"Addicted to You","Picture This",34133,https://open.spotify.com/track/1snx5tOQTxN49AyEqMYopU
184,"Into You","Ariana Grande",34058,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe
185,Belter,"Gerry Cinnamon",34015,https://open.spotify.com/track/4fDbMAFdycT0hhb3WlaDPs
186,"9 to 5","Dolly Parton",33985,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG
187,"All Girls Are The Same","Juice WRLD",33809,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
188,"All I Want for Christmas Is You","Mariah Carey",33574,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
189,"Party In The U.S.A.","Miley Cyrus",33471,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
190,"Somebody To Love - 2011 Mix",Queen,33452,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
191,17,MK,33349,https://open.spotify.com/track/15DwFznkBJir7AK9PyMyRR
192,"When You Love Someone","James TW",33310,https://open.spotify.com/track/1o6YK7phnXgsljfWSQQfWc
193,"XO Tour Llif3","Lil Uzi Vert",33288,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
194,"Dreams - 2004 Remaster","Fleetwood Mac",33263,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
195,HUMBLE.,"Kendrick Lamar",33104,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
196,"Thinking out Loud","Ed Sheeran",33017,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
197,FEFE,6ix9ine,32932,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
198,"Dancing in the Moonlight",Toploader,32757,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
199,"Despacito - Remix","Luis Fonsi",32577,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
200,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",32540,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
