,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Solo (feat. Demi Lovato)","Clean Bandit",5781,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
57,Believer,"Imagine Dragons",5697,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
58,"WORKIN ME",Quavo,5673,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4
59,Superpalav,"Papi Hans",5618,https://open.spotify.com/track/3JPlvQrRzgpZlIQoGVjarJ
60,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",5538,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
61,"Girls Like You (feat. Cardi B)","Maroon 5",5524,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
62,"Ruin My Life","Zara Larsson",5522,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
63,Kamikaze,Eminem,5498,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
64,Freestyle,"Boro Purvi",5492,https://open.spotify.com/track/1548LXCsnIVq5I5SlVd8Sk
65,Thunder,"Imagine Dragons",5367,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
66,"One Kiss (with Dua Lipa)","Calvin Harris",5320,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
67,STARGAZING,"Travis Scott",5299,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
68,REMEDY,Alesso,5286,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
69,"Always Remember Us This Way","Lady Gaga",5258,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
70,"lovely (with Khalid)","Billie Eilish",5084,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
71,"Beautiful (feat. Camila Cabello)",Bazzi,5002,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
72,"God's Plan",Drake,4907,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
73,"My Blood","Twenty One Pilots",4702,https://open.spotify.com/track/5HeKOKc4phmLn8e4I7EkzD
74,Youngblood,"5 Seconds of Summer",4682,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
75,"Cry Alone","Lil Peep",4676,https://open.spotify.com/track/4uHscE8VF6F6mKU3ECjIKr
76,"'Till I Collapse",Eminem,4615,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
77,"Say My Name","David Guetta",4553,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
78,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",4535,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
79,Nevermind,"Dennis Lloyd",4522,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
80,FRIENDS,Marshmello,4511,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
81,"Jocelyn Flores",XXXTENTACION,4306,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
82,HUMBLE.,"Kendrick Lamar",4282,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
83,"Shape of You","Ed Sheeran",4259,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
84,"Havana (feat. Young Thug)","Camila Cabello",4231,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
85,"No Limit",G-Eazy,4121,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
86,"There's No Way (feat. Julia Michaels)",Lauv,4082,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
87,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",4062,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
88,IDGAF,"Dua Lipa",4052,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
89,"New Rules","Dua Lipa",4038,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
90,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",4032,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
91,"Diamond Heart","Alan Walker",4023,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
92,2002,Anne-Marie,3993,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
93,Noticed,"Lil Mosey",3992,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
94,"Right Now","Nick Jonas",3962,https://open.spotify.com/track/43wzy7JxMEfvCh8ZFeZKYk
95,"I'm a Mess","Bebe Rexha",3937,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
96,"Iskam da Buda S Teb",Krisko,3921,https://open.spotify.com/track/3tBeutWFdQMQAQ7YmrfX4a
97,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",3907,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
98,"Love Lies (with Normani)",Khalid,3860,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
99,Thunderclouds,Sia,3823,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
100,"Да не питат","Boro Purvi",3792,https://open.spotify.com/track/6QFSJmh8zNGqIto8OgEfzS
101,"Feel It Still","Portugal. The Man",3789,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
102,Flames,"David Guetta",3783,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
