,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",586661,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
2,"LIV$TIL (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,574595,https://open.spotify.com/track/1zrTET6hil9XNlRcSwRsV1
3,"Love Someone","Lukas Graham",529154,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
4,"Sweet but Psycho","Ava Max",464425,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
5,"Not A Damn Thing Changed","Lukas Graham",425338,https://open.spotify.com/track/6hAXHqQPI8uJLrL1EVwmMu
6,Better,Khalid,418019,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
7,"Be Alright","Dean Lewis",384177,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
8,"Stjæle Eller Eje (feat. Gilli & Toko)",AWADA,369759,https://open.spotify.com/track/3rsu8Ay1iJv58pyC65N2Xu
9,"Eastside (with Halsey & Khalid)","benny blanco",366039,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Happier,Marshmello,359426,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",346781,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
12,Irony,Christopher,333645,https://open.spotify.com/track/0UEszsTJ5SezkEQPeAM9S9
13,"KICK (feat. 6ix9ine)",Jimilian,330782,https://open.spotify.com/track/3nkA1BXQFsT1rP2rNzufhh
14,"Falling Down - Bonus Track","Lil Peep",327944,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
15,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",326207,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
16,"Øjne På Mig",ATYPISK,314937,https://open.spotify.com/track/3UtoOVstWvIRvrty74EXWp
17,Shotgun,"George Ezra",311595,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
18,"Promises (with Sam Smith)","Calvin Harris",291962,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
19,"I Love It (& Lil Pump)","Kanye West",274612,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
20,"Without Me",Halsey,258027,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
21,"Su Casa",KESI,244554,https://open.spotify.com/track/4yF9erb9bMUIRXr6QdPgP4
22,"Saturday Nights",Khalid,243882,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
23,"In My Mind",Dynoro,242426,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
24,"Body (feat. brando)","Loud Luxury",238856,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
25,"High Hopes","Panic! At The Disco",236814,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
26,AMG,MellemFingaMuzik,231388,https://open.spotify.com/track/12upFOLFbpQ5nTENWm2Glj
27,Youngblood,"5 Seconds of Summer",225989,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
28,"MIA (feat. Drake)","Bad Bunny",215202,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
29,"Lucid Dreams","Juice WRLD",213090,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
30,"Ruin My Life","Zara Larsson",212285,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
31,"Chopper Tale (feat. Branco & Gilli)",ATYPISK,206666,https://open.spotify.com/track/6vOwDZnFovhiJiQEgiePTE
32,"Let You Love Me","Rita Ora",206524,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
33,"Safari (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,204008,https://open.spotify.com/track/4zEZYOl9qMNG2bp15WsgLB
34,Oui,Sivas,192044,https://open.spotify.com/track/7j8K8PE1tO2TvhY15E8ZcD
35,"Rum Bum Bum",NAVID,191694,https://open.spotify.com/track/0QzldbZnd9gLpor4S2EzJc
36,"Tjep (feat. Kesi)","Benny Jamz",190824,https://open.spotify.com/track/6Xc6N2ptIEj8z77KDLlj9g
37,"SICKO MODE","Travis Scott",185589,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
38,"Better Now","Post Malone",180859,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
39,"New Eyes","Nicklas Sahl",178194,https://open.spotify.com/track/5nvPhsgDEqEHQ3bLTfqDsd
40,"Taste (feat. Offset)",Tyga,176504,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
41,"Suncity (feat. Empress Of)",Khalid,176017,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
42,"Crying In The Sun",Faustix,174332,https://open.spotify.com/track/5Gwn2tyT8CluNxYI930tu7
43,"Dig Og Mig",Hjalmer,166231,https://open.spotify.com/track/1KA0Zt1BSbuMHtjv1FFasD
44,"No Drama (feat. Craig David)","James Hype",161689,https://open.spotify.com/track/6IIOcnq93QAaKeRX1cs16v
45,"Fine China",Future,161331,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
46,"Blah Blah Blah","Armin van Buuren",160686,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
47,Kamehameha,ICEKIID,158970,https://open.spotify.com/track/3AE6oAwInWyvyreWAQ38vA
48,"Girls Like You (feat. Cardi B)","Maroon 5",156677,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
49,SAD!,XXXTENTACION,156345,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
50,"25 timer",Milbo,155763,https://open.spotify.com/track/3ZhbtCVKFtBKjCs9OrZ6rS
51,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",151738,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
52,"No Stylist (feat. Drake)","French Montana",140760,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
53,"Kom Over",KESI,140639,https://open.spotify.com/track/6Lu7LCf7t7V6X7i4NQywcT
54,"Kiss and Make Up","Dua Lipa",137043,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
55,Moonlight,XXXTENTACION,127410,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
56,"when the party's over","Billie Eilish",125038,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
57,"Venom - Music From The Motion Picture",Eminem,122168,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
