,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Love Someone","Lukas Graham",749639,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
2,"Not A Damn Thing Changed","Lukas Graham",600040,https://open.spotify.com/track/5vph4KmP15IRBLRPPsLnRo
3,"Safari (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,574848,https://open.spotify.com/track/4zEZYOl9qMNG2bp15WsgLB
4,"Sweet but Psycho","Ava Max",514115,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",504946,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
6,Lullaby,"Lukas Graham",501428,https://open.spotify.com/track/0zBceU1TdEwc7tiPHamPv7
7,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,469000,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
8,"LIV$TIL (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,450956,https://open.spotify.com/track/1zrTET6hil9XNlRcSwRsV1
9,"You're Not the Only One (Redemption Song)","Lukas Graham",394391,https://open.spotify.com/track/2GUMnvJq9GUWH5d9XRgTeP
10,Better,Khalid,366964,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
11,"Be Alright","Dean Lewis",364612,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",359282,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
13,Promise,"Lukas Graham",343547,https://open.spotify.com/track/2MXUGxXmbI7z13MCPm2fN1
14,"Stick Around","Lukas Graham",334485,https://open.spotify.com/track/2FjrL6kcEegGAh8GKzmapi
15,Happier,Marshmello,323818,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"Everything That Isn't Me","Lukas Graham",322670,https://open.spotify.com/track/6xSSvbqFj0NuuFcpmhrb8o
17,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",307004,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
18,"Eastside (with Halsey & Khalid)","benny blanco",305839,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,Unhappy,"Lukas Graham",300488,https://open.spotify.com/track/33v8x9hrccmn9y8vcvZEtr
20,"Stjæle Eller Eje (feat. Gilli & Toko)",AWADA,289103,https://open.spotify.com/track/3rsu8Ay1iJv58pyC65N2Xu
21,"Hold My Hand","Lukas Graham",286888,https://open.spotify.com/track/6EAvFWBoSgq5f9tUZnLO8i
22,Irony,Christopher,283636,https://open.spotify.com/track/0UEszsTJ5SezkEQPeAM9S9
23,"Helt Fair (feat. ICEKIID)",Citybois,282862,https://open.spotify.com/track/718FFE3JT8bFt0ePGZ3naw
24,"Say Yes (Church Ballad)","Lukas Graham",277008,https://open.spotify.com/track/36R0Fe5FNyzzSrEY6T1BPV
25,"Falling Down - Bonus Track","Lil Peep",275121,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
26,"KICK (feat. 6ix9ine)",Jimilian,268740,https://open.spotify.com/track/3nkA1BXQFsT1rP2rNzufhh
27,"Promises (with Sam Smith)","Calvin Harris",260855,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
28,Shotgun,"George Ezra",255362,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
29,"Without Me",Halsey,247413,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
30,"In My Mind",Dynoro,225430,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
31,Youngblood,"5 Seconds of Summer",218432,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
32,"High Hopes","Panic! At The Disco",217748,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
33,"Su Casa",KESI,217056,https://open.spotify.com/track/4yF9erb9bMUIRXr6QdPgP4
34,"I Love It (& Lil Pump)","Kanye West",216402,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
35,"Øjne På Mig",ATYPISK,215450,https://open.spotify.com/track/3UtoOVstWvIRvrty74EXWp
36,AMG,MellemFingaMuzik,215332,https://open.spotify.com/track/12upFOLFbpQ5nTENWm2Glj
37,"SICKO MODE","Travis Scott",211921,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
38,"Body (feat. brando)","Loud Luxury",211096,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
39,"Ruin My Life","Zara Larsson",205127,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
40,"Lucid Dreams","Juice WRLD",203307,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
41,"Let You Love Me","Rita Ora",192280,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
42,"MIA (feat. Drake)","Bad Bunny",187023,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
43,"Chopper Tale (feat. Branco & Gilli)",ATYPISK,185980,https://open.spotify.com/track/6vOwDZnFovhiJiQEgiePTE
44,"25 timer",Milbo,179344,https://open.spotify.com/track/3ZhbtCVKFtBKjCs9OrZ6rS
45,"Happy Now",Kygo,178926,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
46,"Saturday Nights",Khalid,177909,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
