,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
31,"Jocelyn Flores",XXXTENTACION,11110,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
32,"Цвет настроения чёрный","Egor Kreed",10872,https://open.spotify.com/track/7dKiNStdWrS78TqDVBNBdv
33,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",10814,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
34,"rockstar (feat. 21 Savage)","Post Malone",10811,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,Youngblood,"5 Seconds of Summer",10746,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
36,"Self Care","Mac Miller",10572,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
37,"The Ringer",Eminem,10490,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
38,"I Got Love","MiyaGi & Endspiel",10436,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
39,"Taste (feat. Offset)",Tyga,10415,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
40,"Beautiful (feat. Camila Cabello)",Bazzi,10162,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
41,"Jackie Chan",Tiësto,10055,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
42,"New Patek","Lil Uzi Vert",9855,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
43,Nonstop,Drake,9846,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
44,Noticed,"Lil Mosey",9725,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
45,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",9654,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
46,"Mo Bamba","Sheck Wes",9605,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
47,"Happy Now",Zedd,9315,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
