,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"rockstar (feat. 21 Savage)","Post Malone",65077,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
57,"Feu de bois",Damso,64947,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
58,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,62829,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
59,"La Cintura","Alvaro Soler",62574,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
60,Nonstop,Drake,62348,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
61,"Havana (feat. Young Thug)","Camila Cabello",61826,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
62,"Jocelyn Flores",XXXTENTACION,61588,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
63,"La thune",Angèle,61092,https://open.spotify.com/track/5JlGAhWabxmwpyNyiEumzr
64,"New Rules","Dua Lipa",59831,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
65,"Don’t Matter To Me (with Michael Jackson)",Drake,59487,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
66,"Remind Me to Forget",Kygo,58986,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
67,"I'm a Mess","Bebe Rexha",57161,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
68,SWISH,Tyga,56903,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
69,91's,PNL,56360,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
70,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,55778,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
71,Happier,"Ed Sheeran",55517,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
72,Smog,Damso,55163,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
73,Believer,"Imagine Dragons",55126,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
74,everytime,"Ariana Grande",54012,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
75,"The Middle",Zedd,53960,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
76,"In My Blood","Shawn Mendes",53824,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
77,Drama,Bizzey,51136,https://open.spotify.com/track/7iQKG3ZjRF4EEhUulo514R
78,"Side Effects (feat. Emily Warren)","The Chainsmokers",50860,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
79,"Bella ciao - HUGEL Remix","El Profesor",50824,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
80,"Nice For What",Drake,49703,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
81,"I'm Yours","Jason Mraz",49028,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
82,Thunder,"Imagine Dragons",48401,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
83,Darkside,"Alan Walker",48399,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
84,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",47578,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
85,"Grip (Omarm Me)",Bazart,46294,https://open.spotify.com/track/3R9WeLqxWHP93keLuNyz2J
86,"Psycho (feat. Ty Dolla $ign)","Post Malone",46178,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
87,"Look At Me!",XXXTENTACION,45616,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
88,Africa,TOTO,45402,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
89,Zoutelande,BLØF,44494,https://open.spotify.com/track/1dCaSvUR92UgJZwmNxnqZV
90,"Mafiosa (feat. Caroliina)",Lartiste,43978,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
91,Perfect,"Ed Sheeran",43639,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
92,"Wake Me Up",Avicii,43041,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
93,"If You're Over Me","Years & Years",42816,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
94,Dura,"Daddy Yankee",41751,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
95,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,41556,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
96,X,"Nicky Jam",39836,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
97,"lovely (with Khalid)","Billie Eilish",39360,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
98,Habitué,Dosseh,39296,https://open.spotify.com/track/76HlSm9QxyXxpks5HTYS0F
99,"Without You (feat. Sandro Cavazza)",Avicii,39266,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
100,Halo,Beyoncé,38813,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
101,"Too Good At Goodbyes","Sam Smith",38726,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
102,"Te Boté - Remix","Nio Garcia",38522,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
103,Thunderclouds,Sia,37768,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
104,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",37535,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
105,"All of Me","John Legend",37318,https://open.spotify.com/track/3uhBIQ7tv8j1FME8cFGEfG
106,LIT,SBMG,37010,https://open.spotify.com/track/76OfzNtY3nG5hCnh5COSjt
107,Clandestino,Shakira,36600,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
108,"I Like Me Better",Lauv,36176,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
109,"Dancing in the Moonlight (feat. NEIMY)",Jubël,36039,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
110,"Like I Do","David Guetta",35938,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
111,"Bad Boy","Marwa Loud",35670,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
112,"Ma 6t a craqué (feat. Ninho)",Kpoint,35565,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
113,"High Hopes","Panic! At The Disco",35431,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
114,"Wonderwall - Remastered",Oasis,35426,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
115,"Ipséité - Bonus Track",Damso,35362,https://open.spotify.com/track/1bWACDppxjESmjkXMl6cnI
116,Silence,Marshmello,35341,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
117,"Tie Me Down (with Elley Duhé)",Gryffin,35186,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
118,Crazy,"Lost Frequencies",34817,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
119,"Everybody Dies In Their Nightmares",XXXTENTACION,34528,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
120,"Verover Mij - Uit Liefde Voor Muziek","Niels Destadsbader",34145,https://open.spotify.com/track/1RFNZE1B8vJFCSKujPVkZt
121,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",34053,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
122,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,33948,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
123,"A l'Ammoniaque",PNL,33799,https://open.spotify.com/track/6aH3QgooXRmx8k8jzrSm3V
124,"Whatever It Takes","Imagine Dragons",33647,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
125,"Level Up",Ciara,33316,https://open.spotify.com/track/5ubwXXOsH9bUhZsQ0Cybha
126,HUMBLE.,"Kendrick Lamar",33308,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
127,"Let Her Go",Passenger,33290,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
128,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,33276,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
129,"Cut Loose","Emma Bale",33115,https://open.spotify.com/track/3khBTuJV9nXiNqKY1k9AXZ
130,"We Can Do Better","Matt Simons",32764,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
131,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",32717,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
132,"Look Alive (feat. Drake)","BlocBoy JB",32556,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
133,"Something Just Like This","The Chainsmokers",32480,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
134,"Take Me to Church",Hozier,32415,https://open.spotify.com/track/3KYOGt8IO6j8wptkG9THag
135,Closer,"The Chainsmokers",32313,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
136,Wolves,"Selena Gomez",32216,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
137,Copines,"Aya Nakamura",32185,https://open.spotify.com/track/3AZg5nZgMquXJ67KgpngKX
138,APESHIT,"The Carters",32141,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
139,"Say You Won't Let Go","James Arthur",31918,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
140,"XO Tour Llif3","Lil Uzi Vert",31759,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
141,"8 Letters","Why Don't We",31673,https://open.spotify.com/track/6AkFxZzBfyzV5RF7mGkASM
142,"More Than You Know","Axwell /\ Ingrosso",31610,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
143,"Take on Me",a-ha,31534,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
144,"Snow (Hey Oh)","Red Hot Chili Peppers",31449,https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO
145,"Feel It Still","Portugal. The Man",31403,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
146,Breathe,"Jax Jones",31307,https://open.spotify.com/track/0KsB4TwgATg88aXCMBoO3Y
147,"One Dance",Drake,31147,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
148,"Don't Give In","Snow Patrol",31128,https://open.spotify.com/track/70F5cNOc2mvAtV03yRKwId
149,Unforgettable,"French Montana",30981,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
150,"I'll Be There","Jess Glynne",30975,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
151,"Coming Home",Sheppard,30924,https://open.spotify.com/track/2MKXUXZIViCGpoFyysFpoj
