,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,316505,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Promises (with Sam Smith)","Calvin Harris",229242,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
3,Shotgun,"George Ezra",206887,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
4,"Be Alright","Dean Lewis",200639,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
5,"In My Feelings",Drake,197505,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"Lucky You (feat. Joyner Lucas)",Eminem,185693,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
7,"Eastside (with Halsey & Khalid)","benny blanco",180072,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"Verleden Tijd",Frenna,173915,https://open.spotify.com/track/4kuexchmxuc5NXmokfo1WH
9,Rise,"Jonas Blue",172555,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
10,"Girls Like You (feat. Cardi B)","Maroon 5",169601,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,Ellie,Regi,163221,https://open.spotify.com/track/2NPiBHafyMwJXvSemJ2S0F
12,Happier,Marshmello,160522,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"I Love It (& Lil Pump)","Kanye West",159848,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
14,Natural,"Imagine Dragons",156561,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
15,"One Kiss (with Dua Lipa)","Calvin Harris",152919,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
16,"Jackie Chan",Tiësto,148831,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
17,"Solo (feat. Demi Lovato)","Clean Bandit",146817,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
18,Youngblood,"5 Seconds of Summer",146067,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,Djadja,"Aya Nakamura",145222,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
20,"Body (feat. brando)","Loud Luxury",133374,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
21,"No Brainer","DJ Khaled",131792,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
22,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",126023,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
23,"Electricity (with Dua Lipa)","Silk City",124986,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
24,"Lucid Dreams","Juice WRLD",121080,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
25,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,119844,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
26,"Blah Blah Blah","Armin van Buuren",117438,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
27,SAD!,XXXTENTACION,114504,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
28,"When I Grow Up (feat. Wiz Khalifa)","Dimitri Vegas & Like Mike",113505,https://open.spotify.com/track/3LK452TFyApuFN9jjg3THO
29,"I Like It","Cardi B",109790,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
30,breathin,"Ariana Grande",107380,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
31,"Happy Now",Zedd,106600,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
32,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",104863,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
33,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",103513,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
34,"SICKO MODE","Travis Scott",103339,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
35,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,101318,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
36,"The Ringer",Eminem,97618,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
37,Moonlight,XXXTENTACION,97038,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
38,"Leave a Light On","Tom Walker",93453,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
39,"Better Now","Post Malone",92863,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
40,"Taste (feat. Offset)",Tyga,92289,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
41,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",92263,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
42,"God is a woman","Ariana Grande",92130,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
43,"no tears left to cry","Ariana Grande",89042,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
44,2002,Anne-Marie,87804,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
45,"Beautiful (feat. Camila Cabello)",Bazzi,84045,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
46,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",83240,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
47,"La même","Maître Gims",82331,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
48,Nevermind,"Dennis Lloyd",78722,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
49,"God's Plan",Drake,77128,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
50,Fall,Eminem,76044,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
51,"Shape of You","Ed Sheeran",73864,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
52,"Melody (feat. James Blunt)","Lost Frequencies",70978,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
53,"High On Life (feat. Bonn)","Martin Garrix",69434,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
54,"Air Max",Rim'K,67713,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
55,"Not Alike (feat. Royce Da 5'9)",Eminem,66100,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
56,"Born To Be Yours",Kygo,65112,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
57,Thunderclouds,Sia,61548,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
58,"Feu de bois",Damso,61389,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
59,BEBE,6ix9ine,61245,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
60,Flames,"David Guetta",61198,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
61,Greatest,Eminem,60566,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
62,IDGAF,"Dua Lipa",60058,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
63,Nonstop,Drake,58116,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
64,changes,XXXTENTACION,57592,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
65,"Ocean (feat. Khalid)","Martin Garrix",57295,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
66,FRIENDS,Marshmello,56472,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
67,"La thune",Angèle,56239,https://open.spotify.com/track/5JlGAhWabxmwpyNyiEumzr
68,"rockstar (feat. 21 Savage)","Post Malone",56082,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,"La Cintura","Alvaro Soler",55706,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
70,"Jocelyn Flores",XXXTENTACION,55345,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
