,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shallow,"Lady Gaga",59869,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2,"In My Mind",Dynoro,37682,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"Naháňame šťastie",Nerieš,35476,https://open.spotify.com/track/6zgLem6JNcBrSfsSyOmc0O
4,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,31961,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",29153,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",28051,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
7,"Always Remember Us This Way","Lady Gaga",28010,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
8,"Without Me",Halsey,26876,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,Natural,"Imagine Dragons",24523,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
10,Happier,Marshmello,24270,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Promises (with Sam Smith)","Calvin Harris",23679,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
12,"Kiss and Make Up","Dua Lipa",22905,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
13,"Let You Love Me","Rita Ora",22496,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
14,Cesta,"Lvcas Dope",21248,https://open.spotify.com/track/6xGfVuDStonGtWRxJI1xeY
15,"Falling Down - Bonus Track","Lil Peep",20943,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
16,"Venom - Music From The Motion Picture",Eminem,20883,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
17,"when the party's over","Billie Eilish",20821,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
18,Better,Khalid,19928,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
19,"I Love It (& Lil Pump)","Kanye West",19358,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
20,Motorest,Gleb,19022,https://open.spotify.com/track/1oOm7QaJ0JzJdf3DU7MrpI
21,"Woman Like Me (feat. Nicki Minaj)","Little Mix",18445,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
22,"Better Now","Post Malone",18274,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"MIA (feat. Drake)","Bad Bunny",17946,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
24,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",17764,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
25,Royal,Separ,16752,https://open.spotify.com/track/7oVavZggN8EK3zxBBxpur8
26,"Be Alright","Dean Lewis",16518,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
27,"Eastside (with Halsey & Khalid)","benny blanco",15855,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
28,"Sweet but Psycho","Ava Max",15823,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
29,"SICKO MODE","Travis Scott",15467,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
30,Rise,"Jonas Blue",15103,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
31,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",14976,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
32,"Solo (feat. Demi Lovato)","Clean Bandit",14903,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
33,Nevermind,"Dennis Lloyd",14363,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
34,"Lucky You (feat. Joyner Lucas)",Eminem,14354,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
35,"Girls Like You (feat. Cardi B)","Maroon 5",13603,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
36,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",13522,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
37,"Electricity (with Dua Lipa)","Silk City",13496,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
38,"Blah Blah Blah","Armin van Buuren",13339,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
39,"Suncity (feat. Empress Of)",Khalid,13322,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
40,SAD!,XXXTENTACION,12833,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
41,"Ruin My Life","Zara Larsson",12756,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
42,"I'll Never Love Again - Film Version - Radio Edit","Lady Gaga",12516,https://open.spotify.com/track/3DKpA54hrFIdPN6AtL9HXa
43,"rockstar (feat. 21 Savage)","Post Malone",12491,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
44,"Born To Be Yours",Kygo,12453,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
