,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",36400,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"thank u, next","Ariana Grande",34866,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Last Christmas",Wham!,32803,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,Shallow,"Lady Gaga",32787,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
5,"TIC TOC",6ix9ine,28968,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
6,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",27404,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
7,"Jingle Bell Rock","Bobby Helms",27245,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
8,"Without Me",Halsey,27129,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"BUDE LÍP",MILION+,26794,https://open.spotify.com/track/1HURVedroTlzswJbtfbVEh
10,"In My Mind",Dynoro,25452,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
11,"Rockin' Around The Christmas Tree","Brenda Lee",25342,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
12,"Bad Liar","Imagine Dragons",25127,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
13,"HULILA HULILA",MILION+,23131,https://open.spotify.com/track/0hUXtIe04neSwQVr0Sn41J
14,"Santa Tell Me","Ariana Grande",23025,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
15,MAMA,6ix9ine,22751,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
16,"Bohemian Rhapsody - 2011 Mix",Queen,22576,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
17,KILO,MILION+,22453,https://open.spotify.com/track/7fkakCUoWwbFt5lw7CM8MH
18,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",21723,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
19,KIWI,MILION+,21702,https://open.spotify.com/track/5u8dc2ZAjhe1JY1ou2ItnM
20,"It's the Most Wonderful Time of the Year","Andy Williams",21617,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
21,Natural,"Imagine Dragons",21523,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
22,"It's Beginning to Look a Lot like Christmas","Michael Bublé",21298,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",21224,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
24,KIKA,6ix9ine,20356,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
25,"OBĚŽNÁ DRÁHA",MILION+,20136,https://open.spotify.com/track/2fAjRFi5cBmDATUS9gPGo5
26,"when the party's over","Billie Eilish",19542,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
27,"Z NULY NA STO",MILION+,19073,https://open.spotify.com/track/2PWcF0vZyCZNuX53BoMAUo
28,"SEDM - Remix",MILION+,18355,https://open.spotify.com/track/5Fc5R1945fuU6b0QB0HcYa
