,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Motorest,Gleb,11617,https://open.spotify.com/track/1oOm7QaJ0JzJdf3DU7MrpI
56,bellyache,"Billie Eilish",11310,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
57,"Santa Tell Me","Ariana Grande",11270,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
58,"lovely (with Khalid)","Billie Eilish",11237,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"Je Mi...",Kali,11172,https://open.spotify.com/track/6gcZbQA0LYz2hfqMAZny7f
60,"Body (feat. brando)","Loud Luxury",11082,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
61,Believer,"Imagine Dragons",10985,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
62,2002,Anne-Marie,10905,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
63,"Born To Be Yours",Kygo,10871,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
64,Royal,Separ,10805,https://open.spotify.com/track/7oVavZggN8EK3zxBBxpur8
65,Machine,"Imagine Dragons",10786,https://open.spotify.com/track/4uGY9CqDtGtaTTLg1cgsWD
66,SAD!,XXXTENTACION,10783,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
67,"I Love It (& Lil Pump)","Kanye West",10778,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
68,"Love Someone","Lukas Graham",10639,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
69,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",10635,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
70,Thunderclouds,Sia,10595,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
71,"Venom - Music From The Motion Picture",Eminem,10565,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
72,"TIC TOC",6ix9ine,10527,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
73,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,10520,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
74,Paralen,"Radikal Chef",10474,https://open.spotify.com/track/3dP7BKu8BLCD2COUTyWueE
75,"Lucid Dreams","Juice WRLD",10448,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
76,IDGAF,"Dua Lipa",10346,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
77,FRIENDS,Marshmello,10335,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
78,"We Will Rock You - Remastered",Queen,10292,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
79,"Say My Name","David Guetta",10258,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
80,Thunder,"Imagine Dragons",10254,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
81,"rockstar (feat. 21 Savage)","Post Malone",10139,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,Cesta,"Lvcas Dope",10054,https://open.spotify.com/track/6xGfVuDStonGtWRxJI1xeY
83,"It's the Most Wonderful Time of the Year","Andy Williams",9920,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
84,KIKA,6ix9ine,9863,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
85,"Life is Beautiful","Lil Peep",9602,https://open.spotify.com/track/5rYpwP1dHWGVMrSZbTmt3e
86,Sundress,"A$AP Rocky",9533,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK
87,"Z NULY NA STO",MILION+,9511,https://open.spotify.com/track/1hOFq3tNMHS8Ym8ylgZV7c
88,"I Found You (with Calvin Harris)","benny blanco",9491,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh
89,"Lucky You (feat. Joyner Lucas)",Eminem,9382,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
90,"Only Want You","Rita Ora",9367,https://open.spotify.com/track/2CTN6UuO2dNEVZXR0DJVk2
91,"Blah Blah Blah","Armin van Buuren",9242,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
