,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",8227,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
57,Thunderclouds,Sia,8213,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
58,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",8203,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
59,"Jocelyn Flores",XXXTENTACION,8151,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
60,"no tears left to cry","Ariana Grande",7890,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
61,"Side Effects (feat. Emily Warren)","The Chainsmokers",7458,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
62,"Psycho (feat. Ty Dolla $ign)","Post Malone",7403,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
63,"Ignite (feat. SEUNGRI)",K-391,7344,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
64,"I Like It","Cardi B",7299,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
65,"I'm a Mess","Bebe Rexha",7214,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
66,"Don’t Matter To Me (with Michael Jackson)",Drake,7091,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
67,Nonstop,Drake,7067,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
68,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6861,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
69,"I Fall Apart","Post Malone",6536,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
70,"My Blood","Twenty One Pilots",6454,https://open.spotify.com/track/2nqwxzn7svkN30dVGbXdWf
71,"God's Plan",Drake,6442,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
72,STARGAZING,"Travis Scott",6120,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
73,"New Heights",NOËP,5857,https://open.spotify.com/track/3ICpGhrulCHC1rw0qvs27W
74,2002,Anne-Marie,5781,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
75,"Blah Blah Blah","Armin van Buuren",5774,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
76,"Nagu Täna",Reket,5747,https://open.spotify.com/track/3c6WMt2C90LVT3XFmF7ZUP
77,"Dance To This (feat. Ariana Grande)","Troye Sivan",5733,https://open.spotify.com/track/17JYzDCW1UTndfURuTydF2
78,"San Francisco","Sander Mölder",5705,https://open.spotify.com/track/5PXIrziipQqtV3sm2UndCG
79,changes,XXXTENTACION,5660,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
80,"Remind Me to Forget",Kygo,5652,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
81,"lovely (with Khalid)","Billie Eilish",5637,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,"Rulli Rulli Rulli",Öed,5599,https://open.spotify.com/track/0NRH6DAR7c6j9z7036HBC2
83,"Rozovoye Vino",Eldzhey,5564,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
84,"All For Love",Raaban,5478,https://open.spotify.com/track/5VGBgPVFO3e0lWz4WHYntQ
85,"Erootika Pood",5MIINUST,5447,https://open.spotify.com/track/0irG7UHJP2APS0hul5MCat
86,"High Hopes","Panic! At The Disco",5222,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
87,"8 Letters","Why Don't We",5086,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
88,IDOL,BTS,5044,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
89,"Everybody Dies In Their Nightmares",XXXTENTACION,4995,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
90,Believer,"Imagine Dragons",4957,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
91,"Tie Me Down (with Elley Duhé)",Gryffin,4953,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
92,"Go Flex","Post Malone",4932,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
93,REMEDY,Alesso,4889,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
94,"Leave a Light On","Tom Walker",4867,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
95,Salaja,"Karl-Erik Taukar",4852,https://open.spotify.com/track/39QgmQACR2ztAXtX5VmCk0
96,"Dancing in the Moonlight (feat. NEIMY)",Jubël,4776,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
97,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4716,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
98,"Nice For What",Drake,4662,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
99,"Drew Barrymore","Bryce Vine",4591,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
100,"Shape of You","Ed Sheeran",4568,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
101,Flames,"David Guetta",4539,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
102,Thunder,"Imagine Dragons",4505,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
103,Köievedu,Reket,4488,https://open.spotify.com/track/5KTrnkXClZkHmJvwhEjQoG
104,IDGAF,"Dua Lipa",4487,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
105,SWISH,Tyga,4478,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
106,Täna,Arop,4449,https://open.spotify.com/track/1OUuj6qXlyRsAZoH0eDVeM
107,"Look At Me!",XXXTENTACION,4429,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
108,"Lucky Strike","Troye Sivan",4381,https://open.spotify.com/track/5mTJcvxRxq3uF5wUjjciDw
109,"Later Bitches","The Prince Karma",4358,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9
110,Congratulations,"Post Malone",4340,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
111,"XO Tour Llif3","Lil Uzi Vert",4323,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
112,"Magic In The Hamptons (feat. Lil Yachty)","Social House",4281,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
113,"Jagatud Saladus","Elina Born",4278,https://open.spotify.com/track/5zMDY13YkNxddXLDoASEXn
114,"I Like Me Better",Lauv,4254,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
115,"Lean Wit Me","Juice WRLD",4224,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
116,Amnesia,WATEVA,4222,https://open.spotify.com/track/3lyZ3wS81yeUx8V8ORjeeB
117,IDOL,BTS,4199,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
118,"Candy Paint","Post Malone",4191,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
119,"Without You (feat. Sandro Cavazza)",Avicii,4160,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
120,"All Girls Are The Same","Juice WRLD",4153,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
121,"Mo Bamba","Sheck Wes",4128,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
122,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",4095,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
123,"you should see me in a crown","Billie Eilish",4083,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
124,"More Than You Know","Axwell /\ Ingrosso",4074,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
125,"Kiki Miki",Arop,4071,https://open.spotify.com/track/13yU3vcrJegnuFUHDMskpq
126,"Kui puus pöörleb",Reket,4050,https://open.spotify.com/track/0ITUNdnU2fPwrupxXKzZ8k
127,"Nico And The Niners","Twenty One Pilots",4021,https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L
128,"River (feat. Ed Sheeran)",Eminem,4001,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
129,"'Till I Collapse",Eminem,3982,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
130,Superhero,Lauv,3982,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
131,everytime,"Ariana Grande",3964,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
132,"Jõul (feat. Sass Henno)",5MIINUST,3934,https://open.spotify.com/track/5vnHyf7nm9NWYbIWxEa5on
133,Paprika,Reket,3901,https://open.spotify.com/track/10CbcAD4Kox6LqD9wZhPha
134,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,3886,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
135,"Tangled Up",NOËP,3880,https://open.spotify.com/track/4tjH1OJC5dDwB6lvPLrq7y
136,"Feel It Still","Portugal. The Man",3862,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
137,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,3821,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
138,"New Rules","Dua Lipa",3808,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
139,"My My My!","Troye Sivan",3787,https://open.spotify.com/track/1YHT1FZv5t3ZFLsVPuy6Rq
140,"Havana (feat. Young Thug)","Camila Cabello",3784,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
141,HUMBLE.,"Kendrick Lamar",3748,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
142,Riptide,"Vance Joy",3744,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
143,"Summertime Magic","Childish Gambino",3741,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
144,"Save That Shit","Lil Peep",3734,https://open.spotify.com/track/0S0vWvyZ6Rc79TXkWxT9QA
145,"Your Love","David Guetta",3711,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
146,"If You're Over Me","Years & Years",3687,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
147,sweetener,"Ariana Grande",3666,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
148,"Like I Do","David Guetta",3662,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
149,"Wake Me Up",Avicii,3662,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
150,"Only You (with Little Mix)","Cheat Codes",3653,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
151,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3625,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
152,"Look Alive (feat. Drake)","BlocBoy JB",3618,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
153,"Ball For Me (feat. Nicki Minaj)","Post Malone",3618,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
154,Seventeen,"Troye Sivan",3610,https://open.spotify.com/track/6UiQFxMYJgILcLTjLrO0OQ
