,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shallow,"Lady Gaga",27381,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,25995,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
3,"Sweet but Psycho","Ava Max",20254,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
4,öölaps!,Nublu,19983,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",17041,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
6,"when the party's over","Billie Eilish",16735,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
7,"Promises (with Sam Smith)","Calvin Harris",16565,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
8,"Falling Down - Bonus Track","Lil Peep",16549,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",16402,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,"Let You Love Me","Rita Ora",15783,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
11,"Mina Ka",Nublu,15707,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW
12,"Without Me",Halsey,14811,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
13,Happier,Marshmello,14676,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"In My Mind",Dynoro,14316,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
15,"Be Alright","Dean Lewis",14278,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
16,Better,Khalid,14144,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
17,"Always Remember Us This Way","Lady Gaga",14037,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
18,"Kiss and Make Up","Dua Lipa",13378,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
19,"Eastside (with Halsey & Khalid)","benny blanco",13069,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",12786,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
21,"Lucid Dreams","Juice WRLD",11745,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
22,"I Love It (& Lil Pump)","Kanye West",11466,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
23,"Better Now","Post Malone",11001,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,"Keeruta (feat. Nublu)",Lenna,10964,https://open.spotify.com/track/0t6ICmpxvI1hYiYENlx3Y3
25,"MIA (feat. Drake)","Bad Bunny",10885,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
26,"Suncity (feat. Empress Of)",Khalid,10398,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
27,"SICKO MODE","Travis Scott",10321,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
28,"I Got Love","MiyaGi & Endspiel",10096,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
29,Moonlight,XXXTENTACION,10058,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
30,"Diamond Heart","Alan Walker",9953,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
31,SAD!,XXXTENTACION,9847,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
32,"2 Quick Start",Nublu,9719,https://open.spotify.com/track/60mPI11SKSZFlLKzt3KXv5
33,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",9589,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
34,Youngblood,"5 Seconds of Summer",9028,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
35,Nevermind,"Dennis Lloyd",9017,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
36,REMEDY,Alesso,8881,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
37,"Electricity (with Dua Lipa)","Silk City",8874,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
38,"Body (feat. brando)","Loud Luxury",8775,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
39,"Mo Bamba","Sheck Wes",8636,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
40,"Woman Like Me (feat. Nicki Minaj)","Little Mix",8504,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
41,"rockstar (feat. 21 Savage)","Post Malone",8315,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
42,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",8079,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
43,"Jocelyn Flores",XXXTENTACION,8047,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
44,"Venom - Music From The Motion Picture",Eminem,7986,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
45,"Ruin My Life","Zara Larsson",7751,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
