,country,date,stringency
164,SWE,2020-01-07,0.0
165,AUT,2020-01-07,0.0
166,BEL,2020-01-07,0.0
167,CZE,2020-01-07,0.0
168,DEU,2020-01-07,0.0
169,DNK,2020-01-07,0.0
170,ESP,2020-01-07,0.0
171,EST,2020-01-07,0.0
172,FIN,2020-01-07,0.0
173,BGR,2020-01-07,0.0
174,CYP,2020-01-07,0.0
175,HUN,2020-01-07,0.0
176,LVA,2020-01-07,0.0
177,POL,2020-01-07,0.0
178,PRT,2020-01-07,0.0
179,SVK,2020-01-07,0.0
180,SVN,2020-01-07,0.0
181,FRA,2020-01-07,0.0
182,GBR,2020-01-07,0.0
183,GRC,2020-01-07,0.0
184,HRV,2020-01-07,0.0
185,IRL,2020-01-07,0.0
186,ITA,2020-01-07,0.0
187,LTU,2020-01-07,0.0
188,LUX,2020-01-07,0.0
189,SWE,2020-01-08,0.0
190,ROU,2020-01-08,0.0
191,NLD,2020-01-08,0.0
192,FIN,2020-01-08,0.0
193,EST,2020-01-08,0.0
194,ESP,2020-01-08,0.0
195,DNK,2020-01-08,0.0
196,DEU,2020-01-08,0.0
197,CZE,2020-01-08,0.0
198,BEL,2020-01-08,0.0
199,AUT,2020-01-08,0.0
200,SVN,2020-01-08,0.0
201,SVK,2020-01-08,0.0
202,PRT,2020-01-08,0.0
203,POL,2020-01-08,0.0
204,LVA,2020-01-08,0.0
205,HUN,2020-01-08,0.0
206,CYP,2020-01-08,0.0
207,BGR,2020-01-08,0.0
208,LUX,2020-01-08,0.0
209,LTU,2020-01-08,0.0
210,ITA,2020-01-08,0.0
211,IRL,2020-01-08,0.0
212,HRV,2020-01-08,0.0
213,GRC,2020-01-08,0.0
214,GBR,2020-01-08,0.0
215,FRA,2020-01-08,0.0
216,NLD,2020-01-09,0.0
217,ROU,2020-01-09,0.0
218,SWE,2020-01-09,0.0
219,AUT,2020-01-09,0.0
220,BEL,2020-01-09,0.0
221,CZE,2020-01-09,0.0
222,DEU,2020-01-09,0.0
223,DNK,2020-01-09,0.0
224,ESP,2020-01-09,0.0
225,EST,2020-01-09,0.0
226,FIN,2020-01-09,0.0
227,BGR,2020-01-09,0.0
228,CYP,2020-01-09,0.0
229,HUN,2020-01-09,0.0
230,LVA,2020-01-09,0.0
231,POL,2020-01-09,0.0
232,PRT,2020-01-09,0.0
233,SVK,2020-01-09,0.0
234,SVN,2020-01-09,0.0
235,FRA,2020-01-09,0.0
236,GBR,2020-01-09,0.0
237,GRC,2020-01-09,0.0
238,HRV,2020-01-09,0.0
239,IRL,2020-01-09,0.0
240,ITA,2020-01-09,0.0
241,LTU,2020-01-09,0.0
242,LUX,2020-01-09,0.0
243,SWE,2020-01-10,0.0
244,ROU,2020-01-10,0.0
245,NLD,2020-01-10,0.0
246,FIN,2020-01-10,0.0
247,EST,2020-01-10,0.0
248,ESP,2020-01-10,0.0
249,DNK,2020-01-10,0.0
250,DEU,2020-01-10,0.0
251,CZE,2020-01-10,0.0
252,BEL,2020-01-10,0.0
253,AUT,2020-01-10,0.0
254,SVN,2020-01-10,0.0
255,SVK,2020-01-10,0.0
256,PRT,2020-01-10,0.0
257,POL,2020-01-10,0.0
258,LVA,2020-01-10,0.0
259,HUN,2020-01-10,0.0
260,CYP,2020-01-10,0.0
261,BGR,2020-01-10,0.0
262,LUX,2020-01-10,0.0
263,LTU,2020-01-10,0.0
264,ITA,2020-01-10,0.0
265,IRL,2020-01-10,0.0
266,HRV,2020-01-10,0.0
267,GRC,2020-01-10,0.0
268,GBR,2020-01-10,0.0
269,FRA,2020-01-10,0.0
270,NLD,2020-01-11,0.0
271,ROU,2020-01-11,0.0
272,SWE,2020-01-11,0.0
273,AUT,2020-01-11,0.0
274,BEL,2020-01-11,0.0
275,CZE,2020-01-11,0.0
276,DEU,2020-01-11,0.0
277,DNK,2020-01-11,0.0
278,ESP,2020-01-11,0.0
279,EST,2020-01-11,0.0
280,FIN,2020-01-11,0.0
281,BGR,2020-01-11,0.0
282,CYP,2020-01-11,0.0
283,HUN,2020-01-11,0.0
284,LVA,2020-01-11,0.0
285,POL,2020-01-11,0.0
286,PRT,2020-01-11,0.0
287,SVK,2020-01-11,0.0
288,SVN,2020-01-11,0.0
289,FRA,2020-01-11,0.0
290,GBR,2020-01-11,0.0
291,GRC,2020-01-11,0.0
292,HRV,2020-01-11,0.0
293,IRL,2020-01-11,0.0
294,ITA,2020-01-11,0.0
295,LTU,2020-01-11,0.0
296,LUX,2020-01-11,0.0
297,SWE,2020-01-12,0.0
298,ROU,2020-01-12,0.0
299,NLD,2020-01-12,0.0
300,FIN,2020-01-12,0.0
301,EST,2020-01-12,0.0
302,ESP,2020-01-12,0.0
303,DNK,2020-01-12,0.0
304,DEU,2020-01-12,0.0
305,CZE,2020-01-12,0.0
306,BEL,2020-01-12,0.0
307,AUT,2020-01-12,0.0
308,SVN,2020-01-12,0.0
309,SVK,2020-01-12,0.0
310,PRT,2020-01-12,0.0
311,POL,2020-01-12,0.0
312,LVA,2020-01-12,0.0
313,HUN,2020-01-12,0.0
314,CYP,2020-01-12,0.0
315,BGR,2020-01-12,0.0
316,LUX,2020-01-12,0.0
317,LTU,2020-01-12,0.0
318,ITA,2020-01-12,0.0
319,IRL,2020-01-12,0.0
320,HRV,2020-01-12,0.0
321,GRC,2020-01-12,0.0
322,GBR,2020-01-12,0.0
323,FRA,2020-01-12,0.0
324,NLD,2020-01-13,0.0
325,ROU,2020-01-13,0.0
326,SWE,2020-01-13,0.0
327,AUT,2020-01-13,0.0
328,BEL,2020-01-13,0.0
329,CZE,2020-01-13,0.0
330,DEU,2020-01-13,0.0
331,DNK,2020-01-13,0.0
332,ESP,2020-01-13,0.0
333,EST,2020-01-13,0.0
334,FIN,2020-01-13,0.0
335,BGR,2020-01-13,0.0
336,CYP,2020-01-13,0.0
337,HUN,2020-01-13,0.0
338,LVA,2020-01-13,0.0
339,POL,2020-01-13,0.0
340,PRT,2020-01-13,0.0
341,SVK,2020-01-13,0.0
342,SVN,2020-01-13,0.0
343,FRA,2020-01-13,0.0
344,GBR,2020-01-13,0.0
345,GRC,2020-01-13,0.0
346,HRV,2020-01-13,0.0
347,IRL,2020-01-13,0.0
348,ITA,2020-01-13,0.0
349,LTU,2020-01-13,0.0
350,LUX,2020-01-13,0.0
351,SWE,2020-01-14,0.0
352,ROU,2020-01-14,0.0
353,NLD,2020-01-14,0.0
354,FIN,2020-01-14,0.0
355,EST,2020-01-14,0.0
