,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",1155299,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,1132932,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,Shallow,"Lady Gaga",1102316,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
4,"It's Beginning to Look a Lot like Christmas","Michael Bublé",826075,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
5,"Tänd ett ljus",Triad,794804,https://open.spotify.com/track/0WeT9UnF79pGH5ohYHsnD9
6,"Santa Tell Me","Ariana Grande",781787,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
7,"thank u, next","Ariana Grande",780330,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
8,Mistletoe,"Justin Bieber",748583,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
9,"Sweet but Psycho","Ava Max",742600,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Do They Know It's Christmas? - 1984 Version","Band Aid",735241,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
11,"Jingle Bell Rock","Bobby Helms",727664,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12,"Mer jul","Adolphson & Falk",695037,https://open.spotify.com/track/6UbwfQeAEzhnolDwXiPowY
13,"Sverige Vet",Z.E,684428,https://open.spotify.com/track/3ZHnfKXAjulpLqKJfT7DEC
14,"Love Someone","Lukas Graham",637860,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
15,"Rockin' Around The Christmas Tree","Brenda Lee",618825,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
16,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",617852,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
17,"Julen är här","Tommy Körberg",611747,https://open.spotify.com/track/4cGPWeCfoQTw7i0wqNRcjI
18,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",599327,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
19,"Feliz Navidad","José Feliciano",597737,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
20,"White Christmas","Bing Crosby",592839,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
21,"when the party's over","Billie Eilish",586918,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
22,"Happy Now",Kygo,572598,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
23,"Be Alright","Dean Lewis",565531,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
24,"Forgive Me Friend","Smith & Thell",547865,https://open.spotify.com/track/7mJKfgBVhd5lB3jweVwVQS
25,"It's the Most Wonderful Time of the Year","Andy Williams",543786,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
26,"Hey Ho","Freddy Kalas",515278,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ
27,"Ruin My Life","Zara Larsson",508289,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
28,Everything,"Sebastian Walldén",507944,https://open.spotify.com/track/3sXHMpriGlbFhMdJT6tzao
29,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",506152,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
30,Tappat,"Victor Leksell",505922,https://open.spotify.com/track/2jPCvYRyIXQf2if8CTyabC
31,"Driving Home for Christmas","Chris Rea",497677,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
32,"Den vintertid nu kommer","Miss Li",491959,https://open.spotify.com/track/0hSBZP9SodLCOLWmfgK9MK
33,Juligen,"Just D",453886,https://open.spotify.com/track/1MMeScdLmniNyO4WMuoIxb
34,"Have Yourself A Merry Little Christmas","Sam Smith",450567,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
35,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",442611,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
36,"Always Remember Us This Way","Lady Gaga",440733,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
37,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,440281,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
38,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",439561,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
39,"The Christmas Song (Merry Christmas To You)","Nat King Cole",435367,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
40,"In My Mind",Dynoro,403912,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
41,"Without Me",Halsey,390091,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
42,"Diamond Heart","Alan Walker",386494,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
43,Happier,Marshmello,385608,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
44,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",383996,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
45,"Hon dansar vidare i livet",Hov1,374194,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE
46,"Nu tändas tusen juleljus","Benny Anderssons Orkester",369172,https://open.spotify.com/track/5PB7EuGxRLK1GQJjYJGhTD
47,"Without You (feat. Sandro Cavazza)",Avicii,369036,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
48,"Jul, jul strålande jul",Carola,366027,https://open.spotify.com/track/33EVpTZhoyQw1mStrZTKfO
49,"whoa (mind in awe)",XXXTENTACION,361896,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
