,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Taste (feat. Offset)",Tyga,53162,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
57,"Santa Tell Me","Ariana Grande",52978,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
58,Rain,mishlawi,52195,https://open.spotify.com/track/65GMCfqsrFRDSX7OWNoJeS
59,"Jocelyn Flores",XXXTENTACION,52195,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
60,"Love Lies (with Normani)",Khalid,51973,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
61,"Going Bad (feat. Drake)","Meek Mill",51314,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
62,"Let You Love Me","Rita Ora",51053,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
63,"In My Feelings",Drake,50797,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
64,"Parado no Bailão","MC L da Vinte",50672,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT
65,"1100 Cegonhas",Dillaz,49827,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
66,"TIC TOC",6ix9ine,49708,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
67,"23 de Maio","Wet Bed Gang",48545,https://open.spotify.com/track/6dtDzWzfREiF37jPhcfja5
68,"Be Alright","Dean Lewis",48483,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
69,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",48181,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
70,"Jingle Bell Rock","Bobby Helms",48050,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
71,Nevermind,"Dennis Lloyd",47329,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
72,"Salto Alto",Piruka,46867,https://open.spotify.com/track/3sIXzuNgN9HrC7amkEQWiP
73,"God's Plan",Drake,46511,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
74,"Ruin My Life","Zara Larsson",46434,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
75,"Guardian angel",XXXTENTACION,46253,https://open.spotify.com/track/7uqcLJFlSYjVPLUz1vPxkY
76,"Saturday Nights",Khalid,45669,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
77,"Sin Pijama","Becky G",44828,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
78,lovely,"Billie Eilish",44461,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
79,"Always Remember Us This Way","Lady Gaga",43960,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
80,changes,XXXTENTACION,43853,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
81,"rockstar (feat. 21 Savage)","Post Malone",43750,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,"Ocean (feat. Khalid)","Martin Garrix",43716,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
