,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nostalgiaa,Evelina,313318,https://open.spotify.com/track/1P371Va3PjCvUQEyepocHQ
2,"Sweet but Psycho","Ava Max",281720,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
3,"Juon sut pois",Benjamin,250718,https://open.spotify.com/track/5wPMYlLEaddsrnogZ0oCAt
4,"Kokonaan Mun","Adi L Hasla",245307,https://open.spotify.com/track/7goUH0oJQ8iS0nVoQMRTuK
5,"thank u, next","Ariana Grande",234134,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Kuka Antais Pukille?","Teflon Brothers",215157,https://open.spotify.com/track/7zyofXGhXgaqT8fhvLufdf
7,"All I Want for Christmas Is You","Mariah Carey",197137,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
8,"Speechless (feat. Erika Sirola)","Robin Schulz",194679,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
9,"Suojelusenkeli (feat. Petra)","Arttu Lindeman",193947,https://open.spotify.com/track/74ttBoVCAYbtaAyw8z1rst
10,"HENDRIX (feat. Aleksanteri Hakaniemi)","Lukas Leon",189969,https://open.spotify.com/track/2ng98WyIOWGTCm71TXB4gi
11,Suomi,"Yksi Totuus",185839,https://open.spotify.com/track/0gIspzcmfUWg5tbXB9Qavx
12,"Tule lähemmäs Beibi 2018 (feat. Jenni Vartiainen, Vesala & SANNI)","Kaija Koo",184104,https://open.spotify.com/track/2uH6hlfi6k8ZUU78bYm9D4
13,"Falling Down - Bonus Track","Lil Peep",182381,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
14,"Last Christmas",Wham!,179802,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
15,"Diamond Heart","Alan Walker",177850,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
16,Jättiläinen,Pyhimys,171895,https://open.spotify.com/track/3bEc0e8OHd73jfhSjXMoKb
17,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",170912,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
18,"Suomen muotoisen pilven alla","Arttu Wiskari",169332,https://open.spotify.com/track/2lvZlCIDkDHWc2Q9Y51GUJ
19,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,168588,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
20,XTC,"Lukas Leon",156631,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
21,"Different World (feat. CORSAK)","Alan Walker",154172,https://open.spotify.com/track/1ynVxkQjPcDRlJwYkApoNy
22,"Loppuun Asti",Elastinen,152803,https://open.spotify.com/track/2DZEeHq94eVl4b2pkDuu5G
23,"Bad Liar","Imagine Dragons",151406,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
24,"Kiss and Make Up","Dua Lipa",144683,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
25,Jouluralli,"Eino ja Aapeli",143955,https://open.spotify.com/track/53gitrvBsyB7XjDpAHkoGa
26,"Without Me",Halsey,140076,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
27,"TIC TOC",6ix9ine,139947,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
28,Shallow,"Lady Gaga",138211,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
29,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",136725,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
30,"Lucid Dreams","Juice WRLD",136061,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
31,"whoa (mind in awe)",XXXTENTACION,132342,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
32,BAD!,XXXTENTACION,130589,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
33,"Santa Tell Me","Ariana Grande",130500,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
34,SAD!,XXXTENTACION,130461,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
35,"when the party's over","Billie Eilish",129915,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
36,"Be Alright","Dean Lewis",128336,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
37,"Ota varovasti",Vesta,127324,https://open.spotify.com/track/46wULtWD6WHdbYNXk2KLMJ
38,Lumi,Gasellit,126588,https://open.spotify.com/track/4rs41LGZD258N9nOf9a3rg
39,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",124351,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
40,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",123374,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
41,KIKA,6ix9ine,121793,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
42,"Better Now","Post Malone",121107,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
43,"In My Mind",Dynoro,120953,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
44,"Let You Love Me","Rita Ora",118662,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
45,"Joulun kanssas jaan (feat. Cantores Minores)","Haloo Helsinki!",115800,https://open.spotify.com/track/3RCxl6HWK4ADOzMbY8FZCw
46,"Happy Now",Kygo,114721,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
47,Mistletoe,"Justin Bieber",113224,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
48,Kevät,"Adi L Hasla",109702,https://open.spotify.com/track/7xrMRHovEoiZ72bQxDuev8
