,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,451098,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,XTC,"Lukas Leon",377247,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
3,"Mitä Mä Malagas?",Gasellit,354818,https://open.spotify.com/track/5xv2Mp3X6DeMaO0do5Xh99
4,"Naarmuja (feat. IBE)",Benjamin,351081,https://open.spotify.com/track/4uAFn0BeYwIkALu1ObuzXA
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,312400,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"Yhen elämän juttu",ABREU,304273,https://open.spotify.com/track/0IXLyheDMnOQ4mmTrScjAR
7,"Lucid Dreams","Juice WRLD",291856,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"Säässä ku säässä","Arttu Lindeman",283133,https://open.spotify.com/track/5MXPqAs7FdolN2vx7ydH0G
9,Darkside,"Alan Walker",278615,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
10,Aallot,Kymppilinja,268592,https://open.spotify.com/track/05GbDEn0ORuEzBUgUJKWiQ
11,"In My Feelings",Drake,252823,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,"Valot sammuu",Cheek,249962,https://open.spotify.com/track/39J7BoHrpoR9V3vUBIj1wK
13,Jacuzzi,SANNI,229706,https://open.spotify.com/track/20HxqjE03spuS8c4mz6HDz
14,"Promises (with Sam Smith)","Calvin Harris",228093,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
15,breathin,"Ariana Grande",224909,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
16,"Roska silmäs",TIPPA,212203,https://open.spotify.com/track/0NphthcD8OIJp5xAaZnwpQ
17,"Solo (feat. Demi Lovato)","Clean Bandit",208150,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
18,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",207711,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
19,"Timantit on ikuisia",Cheek,203721,https://open.spotify.com/track/0wrhLxy4aDAQ0z3FOa4aoe
20,Sangria,SAARA,200501,https://open.spotify.com/track/69MAjtjMLEpCWH6Kl281rg
21,"Vielä Kerran",Evelina,199226,https://open.spotify.com/track/2GcKgmUSo2U2PI945yxk2X
22,"Better Now","Post Malone",188565,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"Right Now","Nick Jonas",184842,https://open.spotify.com/track/43wzy7JxMEfvCh8ZFeZKYk
24,"Girls Like You (feat. Cardi B)","Maroon 5",181596,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
25,"Taste (feat. Offset)",Tyga,181468,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
26,"Bäng Bäng typerä sydän (feat. eetu)",Ellinoora,176809,https://open.spotify.com/track/0Qepv4ugEKn0Alg2HoLSM6
27,"Ignite (feat. SEUNGRI)",K-391,176140,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
28,YsäriBoi,"DJ Oku Luukkainen",173374,https://open.spotify.com/track/5Cqd96h4G16XV4Fx2VuTn9
29,"Bad Boy (feat. Luana Kiara)",Raaban,172204,https://open.spotify.com/track/64p6ua7zpf66s62StC2QLv
30,SAD!,XXXTENTACION,170205,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
31,Sateet,Janna,168542,https://open.spotify.com/track/0VtLEiRZlNM4P10hQc9gSM
32,"God is a woman","Ariana Grande",162869,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
33,Enkelit,Cheek,162120,https://open.spotify.com/track/1OgQlkRYo6t28bqAEu7rXw
34,"Jackie Chan",Tiësto,154540,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
35,"Keho Puhuu","Anna Puu",153145,https://open.spotify.com/track/6PHP9rUBCgEK0kdEpYtSX5
36,"No Brainer","DJ Khaled",151747,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
37,"Sillat (feat. Ilta)",Cheek,150735,https://open.spotify.com/track/1y79Q5QoYX1POEfBqAwJB5
38,"Majesty (with Labrinth & feat. Eminem)","Nicki Minaj",150614,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
39,Äärirajoille,Cheek,149042,https://open.spotify.com/track/1mlaBFU4b0JcpY4ogaScfE
40,#ihanaa,"Petri Nygård",148996,https://open.spotify.com/track/4hK01qQsklh2Cw15f6VQ5I
41,Happier,Marshmello,142931,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
42,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",140256,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
43,Luurangot,costee,139162,https://open.spotify.com/track/5ZYl4htdPXx5oZdzionWSd
44,"Beautiful (feat. Camila Cabello)",Bazzi,138637,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
45,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",138462,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
46,"Kuka muu muka",Cheek,137375,https://open.spotify.com/track/1ZVkcGGkXyZrhiNy3wOAQR
47,Luuseri,"Aleksanteri Hakaniemi",136822,https://open.spotify.com/track/0s8A5JK6GPggOi7nLNmEIA
48,"Eastside (with Halsey & Khalid)","benny blanco",133844,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
49,Keinu,Cheek,133231,https://open.spotify.com/track/7fY6vgPbOXJGzWR4ucuOnl
50,"Sä huudat",Cheek,132610,https://open.spotify.com/track/1q7mHXeH2BQW9bBLxcjhXE
51,"Sokka irti",Cheek,131384,https://open.spotify.com/track/5YlP1QcekGfq8FBqAR9Hlf
52,"Be Alright","Dean Lewis",131038,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
53,STARGAZING,"Travis Scott",130685,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
54,"SICKO MODE","Travis Scott",128372,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
55,Rise,"Jonas Blue",127605,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
56,"rockstar (feat. 21 Savage)","Post Malone",124997,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
57,"Kaksi ihmistä","Haloo Helsinki!",123282,https://open.spotify.com/track/4h1nlsgutqwzk2ZqYaZdOF
58,Natural,"Imagine Dragons",118797,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
59,"Side Effects (feat. Emily Warren)","The Chainsmokers",118099,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
60,Youngblood,"5 Seconds of Summer",117833,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
61,"Syypää sun hymyyn (feat. Yasmine Yamajako)",Cheek,115126,https://open.spotify.com/track/2N2QvMYwyYHE8V4KZbbG4i
62,Jippikayjei,Cheek,114695,https://open.spotify.com/track/5YZd0Gj1GwXsAjgXoEInlX
63,Liekeissä,Cheek,110933,https://open.spotify.com/track/4Cy7xiGIGn0RAeRRVvaFPQ
64,Supervoimii,Elastinen,110318,https://open.spotify.com/track/7rehjyv0IQ0WQoB6wZRfnY
65,"I Like It","Cardi B",107882,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
66,"Joku päivä töitä teen (feat. Pepe Willberg)","Roope Salminen & Koirat",106855,https://open.spotify.com/track/5VJovLNCYsy2BDDOGiNF1s
67,Moonlight,XXXTENTACION,106754,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
68,"Ei suomalaiset tanssi","Haloo Helsinki!",106329,https://open.spotify.com/track/36knYZNgwftBUhMZOzmtmE
69,"Happy Now",Zedd,101564,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
70,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",101533,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
71,"Parempi mies (feat. Samuli Edelmann)",Cheek,101203,https://open.spotify.com/track/1FxPF4pmAJBAozMQo0WmZX
72,"Surulapsi (Vain elämää kausi 7)",Cheek,100844,https://open.spotify.com/track/5pSSjM7U4ZIxcjdDLarOVI
73,"no tears left to cry","Ariana Grande",100123,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
74,"Paratiisiin (feat. Ilta)","Pikku G",99707,https://open.spotify.com/track/62dEp1RkvzVAZawu5bRFlG
75,"All Good Everything",Cheek,99685,https://open.spotify.com/track/1SoBnh5CnaBY8x6cHUHSWN
76,"Jossu - feat. Jukka poika",Cheek,99066,https://open.spotify.com/track/4NMELD7W8jyvANm90bVogf
77,Jättiläinen,Pyhimys,98787,https://open.spotify.com/track/3bEc0e8OHd73jfhSjXMoKb
78,"Jocelyn Flores",XXXTENTACION,97133,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
79,"Malja (Vain elämää kausi 7)",Cheek,96447,https://open.spotify.com/track/5yDuixmCBMLPzz9tuH4vE0
80,"Mitä tänne jää",Cheek,96078,https://open.spotify.com/track/7JggREE5FDV96NUkGpyz8Y
81,Kevät,"Adi L Hasla",95046,https://open.spotify.com/track/7xrMRHovEoiZ72bQxDuev8
82,"Kivi Sakset Seteli","Mikael Gabriel",94781,https://open.spotify.com/track/76UTToAC4uVuQZk0jMCwEb
83,"Me ollaan ne Pt. 2 (feat. Nikke Ankara, Elastinen, JVG, Kube & Pete Parkkonen)",Cheek,92913,https://open.spotify.com/track/7BhEUFbx2UDOXMoHihXBqb
84,"I'm a Mess","Bebe Rexha",92165,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
85,"Anna mä meen (feat. Jonne Aaron)",Cheek,91063,https://open.spotify.com/track/1DJQZMuGTdE3MN0nwfIH7v
86,"Sit ku mä oon vapaa",SANNI,90574,https://open.spotify.com/track/3x5KgPsXF0J9HWFuX159yh
87,Popkorni,JVG,89898,https://open.spotify.com/track/7m101w73Md4O2MDgxjSwop
88,Pakita,MEGA-Ertsi,89895,https://open.spotify.com/track/77kC7i3rcYpSfQg96TXe0W
89,"Äiti & isä","Keko Salata",89447,https://open.spotify.com/track/6B3HbuKUbIjkEciho2GZUg
90,BILLY,6ix9ine,89296,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J
91,"Jos mä oisin sä",Cheek,88389,https://open.spotify.com/track/6uBcw2MchWyFV58Bv9Ctr5
92,Seksihelteet,HesaÄijä,87611,https://open.spotify.com/track/7xN95tjiQ4fioiSJ9L0hm7
93,Sinuhe,Profeetat,87310,https://open.spotify.com/track/0b2KYpHaLG8ilgpLOdmbn3
94,"Kyyneleet (feat. Sami Saari)",Cheek,87292,https://open.spotify.com/track/3dFyg7FGdA5dTgpfqjKjYr
95,"High On Life (feat. Bonn)","Martin Garrix",86716,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
