,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Thunder,"Imagine Dragons",13254,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
56,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",12773,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
57,Nevermind,"Dennis Lloyd",12670,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
58,"New Patek","Lil Uzi Vert",12530,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
59,"Venom - Music From The Motion Picture",Eminem,12391,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
60,"Ti Na To Kano","Konstantinos Argiros",12312,https://open.spotify.com/track/4SrNCId1Y1AtV8T374FeiI
61,Believer,"Imagine Dragons",12036,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
62,"Say My Name","David Guetta",11887,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
63,"Call Out My Name","The Weeknd",11867,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
64,Greatest,Eminem,11863,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
65,"Love Someone","Lukas Graham",11490,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
66,"lovely (with Khalid)","Billie Eilish",11470,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,IDGAF,"Dua Lipa",11398,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
68,Youngblood,"5 Seconds of Summer",11310,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
69,Kamikaze,Eminem,11207,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
70,Liwma,"Konstantinos Argiros",10930,https://open.spotify.com/track/6EvJBdadGYUSne9iVQfdQA
71,Uproar,"Lil Wayne",10902,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
72,"Lost In Japan - Remix","Shawn Mendes",10899,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv
73,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",10853,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
74,"Body (feat. brando)","Loud Luxury",10846,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
75,Flames,"David Guetta",10713,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
76,"Havana (feat. Young Thug)","Camila Cabello",10687,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
77,FRIENDS,Marshmello,10411,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
78,"The Middle",Zedd,10161,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
79,"RAP DEVIL","Machine Gun Kelly",10090,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr
80,Giati,Melisses,10070,https://open.spotify.com/track/0jB3HjnsEVcbBPSt7q5coh
81,"New Rules","Dua Lipa",10038,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
82,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",10036,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
83,"Jocelyn Flores",XXXTENTACION,9923,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
84,"Leave Me Alone","Flipp Dinero",9876,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
85,Invited,"Marcus & Martinus",9765,https://open.spotify.com/track/7sFRrykKiZqK6t459JL2l0
86,"Jackie Chan",Tiësto,9760,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
87,Rise,"Jonas Blue",9726,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
88,changes,XXXTENTACION,9690,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
89,"High On Life (feat. Bonn)","Martin Garrix",9528,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
90,"Sin (feat. Jaden Smith)","Young Thug",9269,https://open.spotify.com/track/1Jl21sidRpEdlVBvYbssLx
91,Dedicate,"Lil Wayne",9240,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
92,Medusa,SNIK,9131,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
93,"ICONIC (ft. Jaden Smith)",Logic,9058,https://open.spotify.com/track/1FmdAhS8FqRoEJ4jcSfuKZ
94,"Look Alive (feat. Drake)","BlocBoy JB",8981,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
95,"Don’t Matter To Me (with Michael Jackson)",Drake,8858,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
96,"I Like Me Better",Lauv,8809,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
97,2002,Anne-Marie,8753,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
98,"REEL IT IN",Aminé,8534,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
