,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",67258,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Without Me",Halsey,39468,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",36299,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,"All I Want for Christmas Is You","Mariah Carey",35861,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,"TIC TOC",6ix9ine,35390,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
6,"SICKO MODE","Travis Scott",34771,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",34134,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
8,"Mo Bamba","Sheck Wes",30543,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
9,KIKA,6ix9ine,30072,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
10,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,29096,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
11,Shallow,"Lady Gaga",27909,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
12,MAMA,6ix9ine,27648,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
13,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",27328,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
14,"Jingle Bell Rock","Bobby Helms",27252,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
15,"Santa Tell Me","Ariana Grande",27141,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
16,"Last Christmas",Wham!,26740,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
17,"Going Bad (feat. Drake)","Meek Mill",26330,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
18,"Rockin' Around The Christmas Tree","Brenda Lee",24712,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
19,"when the party's over","Billie Eilish",23800,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
20,"It's the Most Wonderful Time of the Year","Andy Williams",23766,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
21,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",23307,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
22,"MIA (feat. Drake)","Bad Bunny",21202,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
23,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",20061,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
24,Better,Khalid,20047,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
25,"come out and play","Billie Eilish",19871,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
26,"Woman Like Me (feat. Nicki Minaj)","Little Mix",19700,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
27,"Better Now","Post Malone",19467,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
28,"It's Beginning to Look a Lot like Christmas","Michael Bublé",19444,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
29,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",19272,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
30,Happier,Marshmello,19057,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
31,BAD!,XXXTENTACION,18413,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
32,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,18408,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
33,"Bohemian Rhapsody - 2011 Mix",Queen,18394,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
34,Mosca,Light,18304,https://open.spotify.com/track/7Es7jQlj2l3MMkEXCNHFnJ
35,"Do They Know It's Christmas? - 1984 Version","Band Aid",18054,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
36,GANGSTA,SNIK,16987,https://open.spotify.com/track/56hwvng962V4BzUvAuVtAC
37,"Bad Liar","Imagine Dragons",16877,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
38,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",16714,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
