,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,23071,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
56,Thunder,"Imagine Dragons",22780,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
57,"Lost In Japan - Remix","Shawn Mendes",22739,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv
58,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",22243,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
59,"Better Now","Post Malone",22189,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
60,Moonlight,XXXTENTACION,22122,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
61,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",21650,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
62,"No Brainer","DJ Khaled",21158,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
63,"Love Someone","Lukas Graham",20578,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
64,Flames,"David Guetta",20379,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
65,"I'm a Mess","Bebe Rexha",20243,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
66,Darkside,"Alan Walker",20239,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
67,"Shape of You","Ed Sheeran",20151,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
68,"God is a woman","Ariana Grande",20138,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
69,"Taste (feat. Offset)",Tyga,20084,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
70,Shotgun,"George Ezra",19993,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
71,Noticed,"Lil Mosey",19910,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
72,Fall,Eminem,19834,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
73,IDGAF,"Dua Lipa",19618,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
74,"Havana (feat. Young Thug)","Camila Cabello",19425,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
75,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",18398,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
76,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",18249,https://open.spotify.com/track/0cDwUAF7yQrOLRcFfJpSc2
77,"The Ringer",Eminem,18178,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
78,"Remind Me to Forget",Kygo,18128,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
79,2002,Anne-Marie,18010,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
80,"New Rules","Dua Lipa",17606,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
81,"More Than You Know","Axwell /\ Ingrosso",17299,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
82,"What About Me (feat. Sosamann)","Lil Wayne",17280,https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM
83,"The Middle",Zedd,17099,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
84,"Sweet but Psycho","Ava Max",17047,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
85,"High Hopes","Panic! At The Disco",16662,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
86,"Without You (feat. Sandro Cavazza)",Avicii,16581,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
87,"Ocean (feat. Khalid)","Martin Garrix",16373,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
88,"Feel It Still","Portugal. The Man",15811,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
89,Kamikaze,Eminem,15677,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
90,"Let Me Down Slowly","Alec Benjamin",15623,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
91,"Jocelyn Flores",XXXTENTACION,15505,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
92,"Venom - Music From The Motion Picture",Eminem,15409,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
93,"Happy Now",Zedd,15351,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
94,"Mad Love","Sean Paul",15187,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
95,Perfect,"Ed Sheeran",14906,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
96,Unforgettable,"Robin Schulz",14867,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
97,"Whatever It Takes","Imagine Dragons",14861,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
98,"Like I Do","David Guetta",14750,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
99,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",14232,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
100,Élvezd,"Punnany Massif",14149,https://open.spotify.com/track/15Zz41Ec3C6Rh6nDZa8331
101,"All I Am","Jess Glynne",14129,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
102,"lovely (with Khalid)","Billie Eilish",14088,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
103,BEBE,6ix9ine,14043,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
104,"Love No More","Loud Luxury",13867,https://open.spotify.com/track/15fZrZhdK0g1BS9sDeW6sD
105,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",13853,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
106,"Him & I (with Halsey)",G-Eazy,13837,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
107,"I Like Me Better",Lauv,13657,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
108,"Lonely Together (feat. Rita Ora)",Avicii,13421,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
109,Greatest,Eminem,13351,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
110,Nehézlábérzés,Krúbi,13338,https://open.spotify.com/track/2wOfDoTh9AQxQBNMm0QGuo
111,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,13322,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
112,"Mindenki táncol /90'/",Majka,13297,https://open.spotify.com/track/75JtuuAnLKjLu8FyEMIzRe
113,"In My Blood","Shawn Mendes",13234,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
114,Wolves,"Selena Gomez",13206,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
115,changes,XXXTENTACION,13150,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
116,"Let It Fly (feat. Travis Scott)","Lil Wayne",13103,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
117,Genius,Sia,12903,https://open.spotify.com/track/73F87Sqh6jQWucOOvz1WFx
118,"Mo Bamba","Sheck Wes",12877,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
119,"Melody (feat. James Blunt)","Lost Frequencies",12853,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
120,"Not Alike (feat. Royce Da 5'9)",Eminem,12833,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
121,"In the End","Linkin Park",12815,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
122,Stargazing,Kygo,12815,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
123,"Drip Too Hard","Lil Baby",12536,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
