,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,73284,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,Shallow,"Lady Gaga",69646,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",65485,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,"thank u, next","Ariana Grande",57887,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,57876,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
6,"Without Me",Halsey,56069,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Bohemian Rhapsody - 2011 Mix",Queen,50122,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
8,Happier,Marshmello,49501,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,Natural,"Imagine Dragons",46083,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44875,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
11,"Solo (feat. Demi Lovato)","Clean Bandit",43888,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
12,"Kiss and Make Up","Dua Lipa",43320,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
13,"when the party's over","Billie Eilish",42392,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
14,"Promises (with Sam Smith)","Calvin Harris",42386,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
15,"Let You Love Me","Rita Ora",40789,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
16,"Woman Like Me (feat. Nicki Minaj)","Little Mix",40458,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
17,"Sweet but Psycho","Ava Max",39611,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
18,"Venom - Music From The Motion Picture",Eminem,39095,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
19,"Nem Tudja Senki","Follow The Flow",37654,https://open.spotify.com/track/0XlgY6Jrh51dY2Bfepj9hK
20,"Another One Bites The Dust - Remastered 2011",Queen,36945,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
21,"Maradok Távol","Follow The Flow",36266,https://open.spotify.com/track/6rp8bq0lhkIosumUPlTFfB
22,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",35191,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
23,"Say My Name","David Guetta",34386,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
24,Füttyös,Majka,34193,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
25,"Better Now","Post Malone",32952,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,Youngblood,"5 Seconds of Summer",32230,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
27,Better,Khalid,31838,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
28,POP/STARS,K/DA,31765,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
29,"MIA (feat. Drake)","Bad Bunny",31361,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
30,"Girls Like You (feat. Cardi B)","Maroon 5",30986,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
31,"Falling Down - Bonus Track","Lil Peep",30884,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
32,"Always Remember Us This Way","Lady Gaga",30460,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
33,Nevermind,"Dennis Lloyd",30254,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
34,"Eastside (with Halsey & Khalid)","benny blanco",30178,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
35,"Be Alright","Dean Lewis",29675,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
36,"Happy Now",Kygo,29445,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
37,Believer,"Imagine Dragons",29139,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
38,"I Love It (& Lil Pump)","Kanye West",28653,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
39,Rise,"Jonas Blue",28476,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
40,"Hol van az a lány","DR BRS",27244,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
41,"Diamond Heart","Alan Walker",27192,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
42,Machine,"Imagine Dragons",26909,https://open.spotify.com/track/5ftQSVAHs7iqULWKQn0fjK
43,"Blah Blah Blah","Armin van Buuren",26766,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
