,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,112656,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"I Love It (& Lil Pump)","Kanye West",97101,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Lucky You (feat. Joyner Lucas)",Eminem,75295,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,Natural,"Imagine Dragons",71682,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
5,"Promises (with Sam Smith)","Calvin Harris",66959,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,Füttyös,Majka,61022,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
7,Happier,Marshmello,60967,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"Solo (feat. Demi Lovato)","Clean Bandit",57282,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,"Eastside (with Halsey & Khalid)","benny blanco",56079,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,"Nem Tudja Senki","Follow The Flow",55764,https://open.spotify.com/track/0XlgY6Jrh51dY2Bfepj9hK
11,"Girls Like You (feat. Cardi B)","Maroon 5",47587,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Be Alright","Dean Lewis",46889,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"Electricity (with Dua Lipa)","Silk City",45682,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
14,"Blah Blah Blah","Armin van Buuren",43889,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
15,Thunderclouds,Sia,42670,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
16,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",42258,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
17,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",40519,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
18,"Say My Name","David Guetta",40402,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
19,"In My Feelings",Drake,39523,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
20,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",39369,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
21,Rise,"Jonas Blue",39348,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
22,"Body (feat. brando)","Loud Luxury",38722,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
23,Nevermind,"Dennis Lloyd",38519,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
24,"Hol van az a lány","DR BRS",38368,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
25,"Wake Up in the Sky","Gucci Mane",37936,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
26,Better,Khalid,37860,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
27,Fall,Eminem,36889,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
28,"Maradok Távol","Follow The Flow",36827,https://open.spotify.com/track/6rp8bq0lhkIosumUPlTFfB
29,"Jackie Chan",Tiësto,36165,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
30,"The Ringer",Eminem,35626,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
31,breathin,"Ariana Grande",35573,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
32,Youngblood,"5 Seconds of Summer",33991,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
33,"Born To Be Yours",Kygo,33700,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
34,"One Kiss (with Dua Lipa)","Calvin Harris",33347,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
35,"Lucid Dreams","Juice WRLD",31868,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
36,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,31581,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
37,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",30738,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
38,REMEDY,Alesso,29961,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
39,"I'm a Mess","Bebe Rexha",29461,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
40,"No Brainer","DJ Khaled",29244,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
41,"SICKO MODE","Travis Scott",29105,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
42,"High On Life (feat. Bonn)","Martin Garrix",28940,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
43,"I Like It","Cardi B",28878,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
44,Kamikaze,Eminem,28863,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
45,"Happy Now",Zedd,28726,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
46,"Taste (feat. Offset)",Tyga,27278,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
47,Believer,"Imagine Dragons",27253,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
48,SAD!,XXXTENTACION,26886,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
49,"God is a woman","Ariana Grande",26847,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
50,"Beautiful (feat. Camila Cabello)",Bazzi,26671,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
51,Darkside,"Alan Walker",24833,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
52,"no tears left to cry","Ariana Grande",24385,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
53,"Falling Down - Bonus Track","Lil Peep",24362,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
54,"rockstar (feat. 21 Savage)","Post Malone",23705,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
55,"Not Alike (feat. Royce Da 5'9)",Eminem,23543,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
56,Greatest,Eminem,23533,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
57,"Better Now","Post Malone",22099,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
58,"Want To","Dua Lipa",21784,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
59,FRIENDS,Marshmello,21705,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
60,Flames,"David Guetta",21419,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
61,"Shape of You","Ed Sheeran",21182,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
62,Shotgun,"George Ezra",21127,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
63,Thunder,"Imagine Dragons",20938,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
64,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",20594,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
65,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,20078,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
66,"Love Someone","Lukas Graham",19987,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
67,IDGAF,"Dua Lipa",19801,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
68,"Havana (feat. Young Thug)","Camila Cabello",19709,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
69,"Remind Me to Forget",Kygo,19034,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
70,"New Rules","Dua Lipa",18892,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
71,Moonlight,XXXTENTACION,18789,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",18235,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
73,"High Hopes","Panic! At The Disco",17932,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,"Venom - Music From The Motion Picture",Eminem,17775,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
75,"Ocean (feat. Khalid)","Martin Garrix",17609,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
76,"Side Effects (feat. Emily Warren)","The Chainsmokers",17203,https://open.spotify.com/track/5hrXLJJrnKraxRQntH0Vv9
77,"Mariners Apartment Complex","Lana Del Rey",17102,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
78,"RAP DEVIL","Machine Gun Kelly",16741,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
79,"Stepping Stone",Eminem,16445,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
80,"Like I Do","David Guetta",16439,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
81,2002,Anne-Marie,16287,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
82,Unforgettable,"Robin Schulz",16243,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
83,"The Middle",Zedd,15695,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
84,BEBE,6ix9ine,15678,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
85,"Without You (feat. Sandro Cavazza)",Avicii,15657,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
86,"More Than You Know","Axwell /\ Ingrosso",15495,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
87,"Mad Love","Sean Paul",15466,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
88,"Jocelyn Flores",XXXTENTACION,15195,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
89,Normal,Eminem,15082,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
90,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",14860,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
91,"Whatever It Takes","Imagine Dragons",14775,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
92,"Feel It Still","Portugal. The Man",14771,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
93,"Him & I (with Halsey)",G-Eazy,14617,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
94,"Mindenki táncol /90'/",Majka,14608,https://open.spotify.com/track/75JtuuAnLKjLu8FyEMIzRe
