,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shallow,"Lady Gaga",42434,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2,"Promises (with Sam Smith)","Calvin Harris",23956,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",23350,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
4,"Falling Down - Bonus Track","Lil Peep",20760,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",20147,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
6,"Let You Love Me","Rita Ora",19223,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
7,"Without Me",Halsey,18846,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"In My Mind",Dynoro,18845,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
9,Better,Khalid,18410,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
10,"Always Remember Us This Way","Lady Gaga",18268,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
11,"Kiss and Make Up","Dua Lipa",17322,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
12,Happier,Marshmello,17308,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"when the party's over","Billie Eilish",17291,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
14,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",16688,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
15,"Tu Maivais","Free Finga",16483,https://open.spotify.com/track/5xfm1GSz2tHXM8GMfBpWk2
16,"I Love It (& Lil Pump)","Kanye West",14474,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
17,"MIA (feat. Drake)","Bad Bunny",14321,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
18,"Be Alright","Dean Lewis",13385,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
19,"Suncity (feat. Empress Of)",Khalid,13371,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
20,"Electricity (with Dua Lipa)","Silk City",13061,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
21,"Sweet but Psycho","Ava Max",12509,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
22,"SICKO MODE","Travis Scott",11851,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
23,Natural,"Imagine Dragons",11757,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
24,"Eastside (with Halsey & Khalid)","benny blanco",11589,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
25,REMEDY,Alesso,11257,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
