,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",39236,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Shallow,"Lady Gaga",29607,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"when the party's over","Billie Eilish",21969,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
4,"Bohemian Rhapsody - 2011 Mix",Queen,21541,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
5,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,21279,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
6,"Without Me",Halsey,20957,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Bad Liar","Imagine Dragons",19881,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",18367,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
9,"Falling Down - Bonus Track","Lil Peep",17689,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
10,"Another One Bites The Dust - Remastered 2011",Queen,17417,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
11,BAD!,XXXTENTACION,17289,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
12,"Woman Like Me (feat. Nicki Minaj)","Little Mix",16380,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",16331,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
14,"Let You Love Me","Rita Ora",16318,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
15,"Promises (with Sam Smith)","Calvin Harris",15702,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
16,"In My Mind",Dynoro,15533,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
17,"SICKO MODE","Travis Scott",15185,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
18,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",15040,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
19,"Always Remember Us This Way","Lady Gaga",14491,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
20,"Sweet but Psycho","Ava Max",14336,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
21,Better,Khalid,13932,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
22,"Kiss and Make Up","Dua Lipa",13344,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
23,Happier,Marshmello,13312,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
24,"Mo Bamba","Sheck Wes",12908,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
25,"Somebody To Love - 2011 Mix",Queen,12555,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
26,"Under Pressure - Remastered",Queen,12421,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
27,Natural,"Imagine Dragons",12413,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
28,"Ruin My Life","Zara Larsson",12003,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
29,"Be Alright","Dean Lewis",11985,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
30,"Happy Now",Kygo,11724,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
31,"Life is Beautiful","Lil Peep",11489,https://open.spotify.com/track/5rYpwP1dHWGVMrSZbTmt3e
